Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
English Language and Literature/letters,South Dakota,Commuter,None,Male,FT,RA,24,S,1992,,117,103,4,2.8,3,1,2,3,1996,96,1997,
"Communication, Journalism, and Related Programs",Marshall Islands,Off-Campus Other,Other,Female,PT,Non-Athlete,21,M,1990,,59,56,1,2.7,3.8,1,2,2,1994,94,1994,am delighted to be called upon
All Majors,New York,On-Campus University Housing,Private,Male,FT,Non-Athlete,20,M,2005,,34,15,0,1.9,1.4,4,2,4,2009,9,2009,
Undeclared,New Hampshire,On-Campus Dorm,All Scholarship Types,Male,FT,RA,18,M,1999,,5,2,0,3.2,2.8,1,1,0,2003,3,2004,comments are well thought out and clearly articulated
"Foreign Languages, Literatures, and Linguistics",Michigan,Commuter,None,Male,FT,Non-Athlete,17,S,2002,,112,65,29,0.75,1.5,2,2,2,2006,6,2008,
Liberal Arts and Sciences Studies and Humanities,Arkansas,On-Campus Dorm,None,Female,FT,RA,23,M,1989,,26,7,5,3.4,1.6,4,1,3,1993,93,1995,
Family and Consumer Sciences/human Sciences,Maryland,On-Campus University Housing,All Scholarship Types,Female,PT,Non-Athlete,20,S,1988,,146,123,2,3.3,2.9,0,1,2,1992,92,1993,
Human Services,Rhode Island,Off-Campus Other,None,Male,FT,Non-Athlete,19,M,1999,,26,17,5,1.5,2.8,2,2,1,2003,3,2007,
All Majors,Arkansas,On-Campus Dorm,Other,Female,PT,RA,17,M,1991,,145,98,34,3.2,2.5,1,2,0,1995,95,1997,
Legal Professions and Studies,Guam,Off-Campus University Housing,University,Female,PT,Non-Athlete,17,S,2002,,45,33,6,2,3.7,0,2,0,2006,6,2009,first came to my attention when
Mathematics and Statistics,Pennsylvania,Commuter,University,Female,FT,Athlete,24,S,1996,,59,52,7,2.6,1.5,0,2,2,2000,0,2000,completely loyal and trustworthy
"Area, Ethnic, Cultural, Gender, and Group Studies",Hawaii,Off-Campus Other,Other,Male,FT,RA,23,S,2004,,38,20,10,3.7,3.3,3,2,4,2008,8,2008,
Undeclared,Texas,On-Campus Dorm,Other,Male,FT,Athlete,18,S,1988,,8,4,4,3.4,3.1,4,2,3,1992,92,1996,
Undeclared,Hawaii,On-Campus Dorm,None,Male,PT,RA,20,S,1993,,52,8,34,1.2,1.8,2,2,3,1997,97,2000,
Mathematics and Statistics,Alabama,On-Campus Dorm,Other,Female,FT,RA,18,S,2000,,55,27,2,3.9,3.3,0,2,0,2004,4,2005,works independently and effectively
"Homeland Security, Law Enforcement, Firefighting",Utah,Off-Campus University Housing,Private,Male,FT,Athlete,21,S,1985,,69,46,2,3.2,3.7,1,1,2,1989,89,1991,
Engineering Technologies and Engineering-Related Fields,Idaho,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,17,S,1989,,27,24,0,1,3.5,2,1,2,1993,93,1996,
Military Technologies and Applied Sciences,Wisconsin,On-Campus University Housing,University,Female,FT,Athelete,20,M,2004,,69,11,1,,3.9,2,2,0,2008,8,2012,works efficiently and effectively
History,Montana,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,18,M,2001,,81,75,3,3.6,1.3,3,1,4,2005,5,2008,
Human Services,Hawaii,Off-Campus University Housing,Other,Female,FT,Athlete,21,S,2003,,70,48,21,2.1,2.8,0,1,1,2007,7,2009,
Human Services,Nebraska,Off-Campus University Housing,Private,Female,FT,RA,22,M,1985,,69,15,4,3.9,0.75,3,1,4,1989,89,1989,if you have further questions
Undeclared,Oregon,On-Campus Dorm,None,Male,PT,Athelete,21,S,1987,,57,26,3,2.8,3.9,3,1,3,1991,91,1991,
Construction Trades,Utah,On-Campus Dorm,Private,Female,PT,Athelete,18,M,1987,,149,55,21,4,3.9,2,2,1,1991,91,1991,
Library Science,Arkansas,Off-Campus Other,Other,Female,FT,Athelete,24,S,1985,,41,23,7,3.6,,0,1,1,1989,89,1992,
Family and Consumer Sciences/human Sciences,Nebraska,Commuter,Other,Male,FT,Athlete,20,M,2004,,148,117,21,1.4,,1,1,3,2008,8,2011,have admiration and respect for
Engineering Technologies and Engineering-Related Fields,Northern Marianas,Commuter,Other,Male,FT,Athlete,24,S,1997,,38,17,11,3.4,2.3,2,2,3,2001,1,2002,is innovative and creative
Architecture and Related Services,Wyoming,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,22,S,1994,,140,131,7,3.4,3.3,3,2,4,1998,98,2001,
Architecture and Related Services,Connecticut,On-Campus University Housing,University,Female,FT,Non-Athlete,19,M,1986,,62,49,4,3.9,3.9,2,1,0,1990,90,1992,Demonstraates leadership
All Majors,Tennessee,Off-Campus University Housing,None,Male,FT,Athlete,24,M,2003,,61,15,17,3.2,3.5,0,1,3,2007,7,2008,
Liberal Arts and Sciences Studies and Humanities,New York,On-Campus University Housing,University,Female,FT,RA,22,M,1997,,148,117,28,3.7,3.9,4,1,1,2001,1,2002,completely loyal and trustworthy
Legal Professions and Studies,Palau,Commuter,None,Male,PT,Non-Athlete,19,M,2000,,66,6,43,2.6,1.3,2,2,1,2004,4,2004,
Engineering,Connecticut,On-Campus Dorm,None,Male,PT,Athlete,23,M,1994,,49,28,6,2.8,3.5,1,1,0,1998,98,1998,
"Agriculture, Agriculture Operations, and Related Sciences",Mississippi,Off-Campus Other,All Scholarship Types,Female,FT,Non-Athlete,22,S,1990,,44,21,19,3.8,,4,1,2,1994,94,1994,has a flair for organization
"Homeland Security, Law Enforcement, Firefighting",Nevada,Off-Campus Other,None,Female,PT,Athelete,20,M,1995,,126,17,58,0.75,3.6,4,2,3,1999,99,1999,will be a great addition to
Military Technologies and Applied Sciences,Maine,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,25,S,1989,,5,1,2,3.1,,2,1,2,1993,93,1994,
Health Professions and Related Programs,Idaho,Off-Campus University Housing,Private,Female,FT,Athelete,19,M,2005,,89,27,60,3.9,3.8,3,1,1,2009,9,2009,
"Area, Ethnic, Cultural, Gender, and Group Studies",Montana,On-Campus University Housing,University,Female,FT,RA,19,M,1995,,44,32,6,1,4,2,1,1,1999,99,2002,
Engineering Technologies and Engineering-Related Fields,Louisiana,On-Campus University Housing,University,Male,FT,Athlete,20,S,1994,,8,3,5,2.2,3.5,4,2,2,1998,98,2000,communicates effectively in writing
All Majors,Kentucky,Off-Campus Other,All Scholarship Types,Male,PT,Athlete,23,M,1999,,24,19,4,2.6,2,0,1,2,2003,3,2005,am happy to recommend
Library Science,Illinois,Off-Campus University Housing,Other,Female,PT,RA,19,M,1992,,136,45,3,1.4,3.8,2,1,1,1996,96,1997,
English Language and Literature/letters,Hawaii,On-Campus Dorm,Other,Female,PT,RA,18,M,1994,,95,88,4,3,2.1,1,2,2,1998,98,2002,
Construction Trades,Michigan,Off-Campus Other,University,Male,FT,Athelete,22,S,2001,,13,2,0,3.8,3.6,2,2,4,2005,5,2008,would be an asset to your program
Engineering,Vermont,On-Campus University Housing,University,Female,FT,RA,22,M,1987,,67,52,5,3.5,2,0,1,0,1991,91,1993,would be a valuable addition to any organization
Library Science,South Carolina,On-Campus Dorm,Other,Male,FT,Non-Athlete,23,M,2004,,54,54,0,1.5,3.8,2,1,1,2008,8,2008,
Human Services,North Dakota,On-Campus Dorm,Private,Male,PT,Athlete,23,M,1986,,126,69,22,1.9,3.1,4,2,1,1990,90,1994,
Health Professions and Related Programs,Minnesota,Commuter,Private,Male,FT,Non-Athlete,23,S,1987,,6,1,1,3.7,3,2,1,3,1991,91,1994,works well with oouthers
English Language and Literature/letters,Alabama,Commuter,University,Male,FT,RA,17,M,2005,,5,3,1,1.9,3.9,3,1,0,2009,9,2009,
Computer and Information Sciences and Support Services,Washington,On-Campus Dorm,University,Male,FT,Athlete,18,S,2005,,32,29,3,1.1,2,3,2,0,2009,9,2011,ADHD
Mathematics and Statistics,Alabama,Off-Campus Other,None,Female,FT,Non-Athlete,24,M,1994,,99,74,3,2.6,3.4,1,2,1,1998,98,2002,
English Language and Literature/letters,South Dakota,Off-Campus Other,Other,Male,PT,Athlete,17,M,1996,,44,18,22,1.6,3.8,3,1,2,2000,0,2000,
"Business, Management, Marketing, and Related Support Services",Vermont,On-Campus Dorm,None,Male,FT,Athlete,18,M,1998,,125,50,49,1,2.1,0,1,2,2002,2,2004,
"Homeland Security, Law Enforcement, Firefighting",Guam,Commuter,University,Female,PT,Athelete,18,M,2004,,115,0,5,1.7,3.9,4,1,2,2008,8,2008,would be an asset to your program
"Homeland Security, Law Enforcement, Firefighting",Idaho,Off-Campus University Housing,Private,Male,FT,Athlete,23,M,1988,,139,7,23,1.5,0.75,0,2,0,1992,92,1992,
Engineering Technologies and Engineering-Related Fields,Texas,Off-Campus Other,University,Male,PT,RA,22,S,1985,,67,12,29,1.3,2.4,3,1,2,1989,89,1992,if you need additional information
"Communication, Journalism, and Related Programs",Connecticut,Off-Campus Other,None,Female,PT,Athelete,20,S,2000,,23,3,4,1.5,4,0,1,0,2004,4,2005,
Construction Trades,South Carolina,Off-Campus Other,All Scholarship Types,Female,PT,RA,18,M,1995,,101,29,17,3.7,2.6,1,2,0,1999,99,2000,
Mathematics and Statistics,Arizona,Off-Campus Other,Other,Male,PT,Non-Athlete,22,M,1987,,67,11,32,3.3,3.5,4,2,1,1991,91,1992,
History,Maine,On-Campus University Housing,All Scholarship Types,Male,PT,Non-Athlete,22,M,1996,,148,94,18,3.1,2.8,4,1,3,2000,0,2001,careful attention to detail
Engineering,Colorado,Commuter,All Scholarship Types,Male,FT,Non-Athlete,22,S,1996,,31,5,21,2.6,3.5,2,1,4,2000,0,2000,if I can further assist
Undeclared,Indiana,Commuter,Other,Male,FT,Athelete,19,M,1999,,67,15,21,2.3,3.4,1,2,0,2003,3,2004,have no hesitation in recommending
Construction Trades,Kansas,Off-Campus Other,Private,Female,PT,Athelete,21,S,2004,,55,41,3,3.2,3.4,4,2,2,2008,8,2008,writes sentence or paragraph
Education,Maine,On-Campus University Housing,University,Female,FT,Athlete,21,M,1985,,48,0,26,1.4,0.75,1,1,0,1989,89,1993,should you have any questions
Military Technologies and Applied Sciences,Kentucky,On-Campus University Housing,University,Male,PT,Non-Athlete,18,M,1985,,71,64,1,2.3,3.9,2,2,2,1989,89,1993,completely loyal and trustworthy
"Business, Management, Marketing, and Related Support Services",Georgia,Commuter,University,Male,FT,Non-Athlete,24,M,1998,,6,5,1,3.8,1.8,0,2,0,2002,2,2002,
"Area, Ethnic, Cultural, Gender, and Group Studies",Dist. of Columbia,On-Campus University Housing,All Scholarship Types,Female,FT,RA,18,S,1996,,32,11,3,3.5,2.1,4,2,4,2000,0,2000,
Mathematics and Statistics,South Carolina,Commuter,Private,Male,PT,Athlete,25,M,2002,,18,18,0,3.1,2.5,2,1,4,2006,6,2007,am honored to support him as a student
All Majors,Michigan,On-Campus University Housing,University,Male,PT,Non-Athlete,22,S,1999,,66,23,34,1.1,3.7,4,1,3,2003,3,2004,willing to go beyond what is required
Mathematics and Statistics,Maine,Off-Campus University Housing,Private,Female,PT,Athlete,20,M,1988,,121,1,46,1.6,0.75,2,2,0,1992,92,1993,
Mechanic and Repair Technologies/technicians,Rhode Island,Commuter,All Scholarship Types,Female,FT,Athlete,22,S,2003,,114,97,14,,2.4,3,1,1,2007,7,2010,
Health Professions and Related Programs,Indiana,Off-Campus University Housing,University,Male,PT,RA,18,M,2003,,148,49,43,3.7,0.75,1,2,4,2007,7,2010,can attest to his integrity
Engineering Technologies and Engineering-Related Fields,Alabama,On-Campus Dorm,Other,Male,FT,RA,23,S,1998,,100,59,8,1.2,1.5,4,1,3,2002,2,2004,
"Homeland Security, Law Enforcement, Firefighting",Puerto Rico,Off-Campus University Housing,Private,Female,FT,RA,17,S,2000,,9,5,1,3.2,2.9,3,2,4,2004,4,2007,is personable and easy to work with
Liberal Arts and Sciences Studies and Humanities,Colorado,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,19,S,2004,,52,13,0,3.1,3.6,1,1,4,2008,8,2010,careful attention to detail
History,Ohio,On-Campus Dorm,Other,Male,FT,Athelete,18,M,1985,,62,43,13,1.9,3.8,0,1,3,1989,89,1993,was a student in two of my classes
Human Services,Rhode Island,On-Campus University Housing,Other,Female,FT,Athelete,19,S,1992,,60,55,5,2.1,3.7,0,1,0,1996,96,1998,should be given serious consideration
Legal Professions and Studies,Missouri,On-Campus University Housing,University,Male,FT,Athlete,17,M,1986,,123,51,0,1.4,3.9,2,2,4,1990,90,1990,
Legal Professions and Studies,Kansas,On-Campus Dorm,None,Male,FT,RA,25,S,2003,,143,42,45,2.1,2.8,4,1,2,2007,7,2008,her performance as a
Communications Technologies/technicians and Support Services,Georgia,Off-Campus Other,University,Female,PT,Non-Athlete,20,M,2000,,40,21,8,2.6,2.7,1,2,4,2004,4,2004,
History,South Carolina,Off-Campus University Housing,Private,Female,PT,RA,18,S,1994,,148,19,22,2.3,1.8,1,1,4,1998,98,2001,
Military Technologies and Applied Sciences,Rhode Island,On-Campus Dorm,Other,Male,PT,RA,22,M,2002,,15,0,5,3.5,2.8,2,1,3,2006,6,2006,
Engineering Technologies and Engineering-Related Fields,Rhode Island,Off-Campus Other,All Scholarship Types,Male,PT,RA,23,M,1991,,30,0,3,3.2,2.7,0,1,3,1995,95,1999,
Engineering,Mississippi,On-Campus Dorm,None,Female,FT,Athelete,23,M,2001,,145,12,107,3.9,3.7,4,1,3,2005,5,2008,is personable and easy to work with
Human Services,Illinois,On-Campus University Housing,University,Female,FT,Athlete,21,S,1985,,128,33,31,1,3.4,1,2,3,1989,89,1991,
"Area, Ethnic, Cultural, Gender, and Group Studies",Maryland,Commuter,Private,Female,FT,RA,18,M,2004,,110,101,1,3.1,2,4,1,1,2008,8,2012,a creative problem-solver
Health Professions and Related Programs,Palau,Commuter,Private,Female,PT,Non-Athlete,23,S,1988,,67,31,0,3.8,3.9,4,1,2,1992,92,1994,
Legal Professions and Studies,Northern Marianas,Commuter,Private,Female,PT,Non-Athlete,20,M,1992,,27,12,5,1.8,3.5,4,1,2,1996,96,2000,
Aviation,Florida,Off-Campus University Housing,University,Male,PT,Athelete,17,M,1993,,25,10,9,3.7,3.8,0,1,3,1997,97,2000,
Construction Trades,Missouri,Off-Campus University Housing,Other,Male,PT,RA,19,M,1993,,143,95,6,3.7,3.7,2,1,2,1997,97,2001,
Family and Consumer Sciences/human Sciences,North Dakota,Off-Campus University Housing,Other,Male,FT,RA,21,M,1985,,9,5,1,4,2.1,3,2,3,1989,89,1990,
"Business, Management, Marketing, and Related Support Services",Rhode Island,On-Campus Dorm,Other,Male,PT,Athlete,23,M,1996,,89,29,43,1.5,1.1,4,1,2,2000,0,2003,first came to my attention when
English Language and Literature/letters,Rhode Island,On-Campus University Housing,None,Female,FT,Athlete,17,M,1985,,67,51,7,1.4,,3,1,2,1989,89,1991,
Engineering Technologies and Engineering-Related Fields,Iowa,Off-Campus Other,Other,Male,PT,Non-Athlete,22,S,1999,,100,19,53,2.5,3.4,1,2,4,2003,3,2004,has been a pleasure to supervise
Biological and Biomedical Sciences,Micronesia,Commuter,All Scholarship Types,Female,FT,Athlete,20,M,1990,,86,61,0,2.9,3.3,3,2,1,1994,94,1996,
Library Science,Oregon,Off-Campus Other,None,Female,PT,Athelete,19,M,2000,,130,42,88,2.4,3.6,1,2,1,2004,4,2006,
English Language and Literature/letters,Alaska,On-Campus University Housing,Private,Male,FT,RA,24,S,1999,,122,119,2,1.4,,0,2,1,2003,3,2006,
Military Technologies and Applied Sciences,California,Off-Campus University Housing,Private,Female,PT,Athlete,25,S,1988,,67,18,20,,3.1,0,2,4,1992,92,1996,
"Area, Ethnic, Cultural, Gender, and Group Studies",Puerto Rico,Commuter,All Scholarship Types,Female,FT,RA,24,S,1987,,137,134,1,2.9,1.2,0,1,1,1991,91,1992,
"Communication, Journalism, and Related Programs",Oregon,On-Campus University Housing,None,Male,PT,Athelete,21,M,1995,,95,20,15,0.75,3.4,3,2,2,1999,99,1999,Applies themself
English Language and Literature/letters,Maryland,Off-Campus University Housing,None,Male,PT,Athelete,21,S,1990,,105,45,6,3.1,3.4,3,1,1,1994,94,1996,
"Homeland Security, Law Enforcement, Firefighting",North Dakota,Off-Campus University Housing,University,Female,PT,Athelete,25,M,1991,,6,3,2,2.8,3.7,4,1,1,1995,95,1995,
Architecture and Related Services,Wyoming,On-Campus Dorm,University,Male,FT,RA,18,M,1989,,102,74,20,3,3.9,4,2,4,1993,93,1995,have no hesitation in recommending
"Business, Management, Marketing, and Related Support Services",Virgin Islands,Off-Campus University Housing,Other,Male,FT,RA,22,S,1990,,91,90,1,1.7,1.2,0,1,3,1994,94,1997,
Mechanic and Repair Technologies/technicians,Rhode Island,On-Campus University Housing,Private,Female,FT,Non-Athlete,20,M,1992,,68,50,4,1.8,3.9,3,2,3,1996,96,1998,handles responsibility well
Engineering Technologies and Engineering-Related Fields,Wisconsin,Off-Campus University Housing,Private,Male,FT,RA,22,S,1998,,103,24,26,3.1,1.8,0,2,3,2002,2,2004,his qualifications and performance
Construction Trades,Arkansas,Off-Campus Other,Other,Female,PT,RA,25,M,1995,,104,86,16,4,3,2,2,4,1999,99,2000,
Biological and Biomedical Sciences,Massachusetts,On-Campus Dorm,Other,Female,FT,Athlete,22,M,2001,,42,26,12,1,1,3,2,4,2005,5,2008,
Architecture and Related Services,Maryland,On-Campus University Housing,University,Male,FT,Athelete,23,M,1999,,109,77,10,2.8,3.9,2,1,1,2003,3,2005,am happy to recommend
"Homeland Security, Law Enforcement, Firefighting",Massachusetts,Commuter,None,Male,FT,Athelete,22,M,1993,,9,2,5,3.9,3.6,2,2,1,1997,97,1998,
Human Services,Iowa,On-Campus University Housing,Other,Male,FT,RA,20,M,2003,,17,13,1,4,1.5,3,2,1,2007,7,2007,first came to my attention when
History,Guam,On-Campus University Housing,All Scholarship Types,Male,FT,RA,20,S,1985,,29,25,2,3.9,1.4,1,2,1,1989,89,1993,
Communications Technologies/technicians and Support Services,Wisconsin,Off-Campus University Housing,Private,Male,PT,Athlete,24,M,1988,,22,14,8,2.1,3.6,0,2,2,1992,92,1994,
Human Services,Arizona,On-Campus University Housing,Other,Female,PT,Athelete,19,S,1994,,128,118,9,2.9,,0,2,4,1998,98,2002,
Education,North Carolina,On-Campus University Housing,Other,Male,FT,Athlete,22,S,1992,,19,0,9,1,1.5,3,1,4,1996,96,2000,
"Agriculture, Agriculture Operations, and Related Sciences",New York,Commuter,Other,Male,PT,Athelete,24,S,1991,,70,15,25,1.7,3.4,2,2,2,1995,95,1996,
Education,Iowa,On-Campus University Housing,University,Male,FT,Non-Athlete,20,S,1993,,5,4,1,4,1.3,2,2,0,1997,97,2001,can offer only the highest recommendation for
Military Technologies and Applied Sciences,Maine,Off-Campus Other,All Scholarship Types,Female,FT,RA,21,S,1986,,25,2,20,0.75,2.6,0,1,2,1990,90,1993,
Construction Trades,American,Commuter,None,Male,FT,Non-Athlete,21,M,1985,,144,126,1,3.5,2.7,1,2,1,1989,89,1990,
Communications Technologies/technicians and Support Services,Puerto Rico,Commuter,University,Male,PT,Non-Athlete,23,S,1987,,144,139,3,3.3,3.2,2,2,3,1991,91,1991,
Engineering Technologies and Engineering-Related Fields,Alabama,Commuter,Other,Male,PT,RA,25,S,1990,,73,30,17,2.3,1.4,2,1,1,1994,94,1998,every confidence in her ability to
"Agriculture, Agriculture Operations, and Related Sciences",Kansas,Off-Campus Other,All Scholarship Types,Male,PT,Non-Athlete,18,M,1997,,104,50,14,4,1.4,4,2,4,2001,1,2001,
Engineering,Arkansas,On-Campus University Housing,Other,Male,FT,Athlete,25,S,1989,,21,20,0,3.9,3.7,0,2,2,1993,93,1996,
Biological and Biomedical Sciences,New Jersey,On-Campus University Housing,None,Male,FT,Athlete,23,S,1991,,110,91,16,2.6,1,4,2,0,1995,95,1996,would be pleased to provide a reference for
Construction Trades,American,Off-Campus University Housing,University,Female,FT,Athlete,20,M,1995,,87,13,62,2.4,2.1,3,2,1,1999,99,2000,
"Foreign Languages, Literatures, and Linguistics",Wisconsin,On-Campus Dorm,Private,Female,FT,Athelete,25,S,1989,,86,66,14,3.7,3.4,0,1,4,1993,93,1997,first became acquainted with
All Majors,Nebraska,Commuter,Private,Male,FT,Non-Athlete,24,S,2002,,10,2,0,1.4,3.5,4,2,0,2006,6,2008,
"Homeland Security, Law Enforcement, Firefighting",North Carolina,Off-Campus University Housing,All Scholarship Types,Female,PT,Athlete,21,S,1991,,12,4,2,2.1,2.8,3,2,0,1995,95,1995,
All Majors,Wisconsin,On-Campus University Housing,All Scholarship Types,Female,PT,Athlete,17,M,1996,,122,96,22,3.4,3.1,1,1,4,2000,0,2000,
"Business, Management, Marketing, and Related Support Services",Wisconsin,Commuter,Other,Female,FT,Athelete,22,M,1998,,115,111,4,0.75,3.5,2,1,4,2002,2,2006,will measure up to your high standards
Mathematics and Statistics,North Dakota,On-Campus University Housing,Other,Female,PT,RA,21,S,1999,,121,45,13,3.3,2.4,1,2,1,2003,3,2004,"one of our finest, most well-rounded undergraduates"
Engineering,Wisconsin,Off-Campus Other,None,Female,FT,Non-Athlete,22,S,2000,,108,23,2,3.8,3.3,3,2,1,2004,4,2007,
Construction Trades,Illinois,On-Campus Dorm,Other,Male,PT,Athlete,20,M,1987,,45,28,3,3.8,1.5,2,1,4,1991,91,1993,
Family and Consumer Sciences/human Sciences,Marshall Islands,On-Campus Dorm,None,Female,FT,RA,24,S,1986,,79,77,1,1.8,0.75,3,2,1,1990,90,1991,recommend her very highly
Aviation,Alaska,Off-Campus Other,None,Male,FT,RA,18,S,2005,,38,24,12,0.75,2,1,2,4,2009,9,2012,conventions/grammar rule
"Communication, Journalism, and Related Programs",Idaho,Commuter,Private,Male,FT,Athelete,19,M,1986,,21,7,5,3.2,3.9,3,2,2,1990,90,1994,
"Business, Management, Marketing, and Related Support Services",Louisiana,On-Campus Dorm,Private,Female,FT,Athlete,17,S,1996,,109,0,12,2.4,2.8,4,2,1,2000,0,2003,
Engineering,Kansas,Commuter,Private,Female,FT,Non-Athlete,20,M,2003,,132,70,46,2.2,1.5,2,2,4,2007,7,2011,was a student in two of my classes
Family and Consumer Sciences/human Sciences,Kentucky,Off-Campus Other,Other,Female,PT,Athlete,24,S,1994,,24,18,3,2.8,3.9,0,2,4,1998,98,1998,works independently and effectively
"Foreign Languages, Literatures, and Linguistics",Tennessee,On-Campus University Housing,All Scholarship Types,Female,FT,RA,19,S,2000,,106,65,16,2.3,3.5,4,2,3,2004,4,2004,
Family and Consumer Sciences/human Sciences,New Jersey,Off-Campus Other,None,Male,PT,Athelete,24,S,1986,,72,1,67,2.7,3.4,4,1,0,1990,90,1990,
"Area, Ethnic, Cultural, Gender, and Group Studies",Arkansas,Commuter,None,Male,PT,Non-Athlete,22,M,1996,,17,11,4,2.5,1.6,4,2,1,2000,0,2002,
Education,Connecticut,On-Campus University Housing,Private,Female,FT,Athlete,22,M,2001,,66,49,6,3.9,2.9,4,2,4,2005,5,2005,
"Agriculture, Agriculture Operations, and Related Sciences",North Carolina,Off-Campus University Housing,Other,Male,PT,Athelete,21,M,1985,,71,9,15,3.8,3.4,4,1,3,1989,89,1993,
"Communication, Journalism, and Related Programs",Colorado,On-Campus Dorm,University,Female,FT,RA,19,S,1994,,67,55,5,2.3,1,3,2,1,1998,98,2000,
Undeclared,New Hampshire,On-Campus Dorm,Other,Male,PT,RA,21,S,2000,,12,3,4,3.1,2.7,1,2,3,2004,4,2006,
Mathematics and Statistics,Arkansas,On-Campus Dorm,Other,Male,FT,Non-Athlete,18,M,1995,,146,15,86,2.7,1.5,0,2,0,1999,99,2001,
Multi/interdisciplinary Studies,Rhode Island,On-Campus Dorm,All Scholarship Types,Female,PT,Athelete,18,S,2002,,46,21,23,2,3.4,3,2,0,2006,6,2008,
Legal Professions and Studies,Rhode Island,Off-Campus Other,None,Male,FT,RA,17,S,2003,,134,2,54,2.6,1.4,3,1,3,2007,7,2009,is mature beyond her years
All Majors,Virgin Islands,Off-Campus University Housing,None,Male,FT,RA,20,M,1996,,33,11,4,1.3,1.6,1,2,0,2000,0,2003,meticulous attention to detail
Health Professions and Related Programs,North Carolina,On-Campus University Housing,Private,Female,FT,Athlete,25,M,1987,,19,12,0,2.3,1.2,0,1,3,1991,91,1994,understands/utilizes
All Majors,Virginia,On-Campus Dorm,Other,Female,FT,RA,24,S,2000,,78,56,17,2.5,2.7,1,1,0,2004,4,2007,can offer only the highest recommendation for
Education,Utah,Commuter,Other,Female,PT,RA,17,M,1997,,141,2,70,1.9,1.8,2,1,1,2001,1,2004,handles responsibility well
Human Services,Alabama,On-Campus Dorm,Private,Female,FT,Athelete,24,S,1991,,75,57,2,2.5,4,4,2,2,1995,95,1999,
Legal Professions and Studies,Wyoming,On-Campus University Housing,All Scholarship Types,Female,FT,RA,20,M,2003,,149,83,19,3,2.1,3,2,2,2007,7,2011,always behaves professionally
Education,Maine,Off-Campus University Housing,None,Female,FT,Athlete,22,S,2000,,95,95,0,2.8,2.5,3,2,0,2004,4,2006,
"Foreign Languages, Literatures, and Linguistics",New Hampshire,Off-Campus University Housing,All Scholarship Types,Female,PT,Non-Athlete,23,S,1990,,136,42,13,1.3,3,4,1,1,1994,94,1997,
Mathematics and Statistics,Alabama,Commuter,All Scholarship Types,Male,PT,Non-Athlete,25,S,1985,,59,45,14,1.7,1.1,0,1,0,1989,89,1992,has always proved satisfactory
All Majors,South Dakota,Off-Campus University Housing,University,Male,FT,RA,22,S,2002,,57,56,0,4,1.9,4,2,3,2006,6,2009,
Mathematics and Statistics,California,Off-Campus Other,Other,Female,PT,Athelete,22,M,1998,,12,8,3,1.4,3.7,4,1,1,2002,2,2006,
Human Services,Kentucky,Off-Campus Other,Other,Male,FT,Non-Athlete,17,M,1993,,49,14,2,1.8,2,2,2,0,1997,97,1997,has been a pleasure to supervise
Engineering,Maine,On-Campus University Housing,University,Female,FT,Athlete,17,M,2002,,116,86,22,0.75,2.1,2,2,2,2006,6,2010,Builds on knowledge
English Language and Literature/letters,Connecticut,Commuter,Private,Female,PT,Athelete,24,S,1991,,120,86,16,2.7,3.8,0,1,4,1995,95,1996,
"Business, Management, Marketing, and Related Support Services",Connecticut,On-Campus Dorm,None,Female,PT,Athelete,22,S,1993,,50,42,6,3.5,3.7,4,1,4,1997,97,1998,has worked directly under my supervision
"Business, Management, Marketing, and Related Support Services",Wyoming,Commuter,Other,Female,PT,RA,19,M,2000,,84,61,23,1.9,1.7,3,2,2,2004,4,2007,punctual and hard working
Education,Oregon,On-Campus Dorm,University,Male,PT,RA,25,M,2004,,16,7,6,2.2,1.6,2,1,1,2008,8,2010,Builds on knowledge
"Business, Management, Marketing, and Related Support Services",Montana,On-Campus University Housing,All Scholarship Types,Male,FT,Athelete,17,M,1987,,118,0,118,1.8,3.6,1,1,2,1991,91,1994,
Biological and Biomedical Sciences,Alaska,On-Campus Dorm,All Scholarship Types,Male,PT,RA,24,M,2000,,145,23,85,1.4,3,1,2,3,2004,4,2008,will be a credit to your
Human Services,Micronesia,Off-Campus University Housing,Other,Male,PT,Athlete,25,S,2001,,128,115,13,2.8,3.1,3,1,3,2005,5,2009,hope this information proves helpful
Military Technologies and Applied Sciences,Washington,Commuter,Private,Female,FT,Non-Athlete,19,M,1985,,65,15,21,3.4,1.1,2,2,0,1989,89,1990,can offer only the highest recommendation for
Health Professions and Related Programs,Northern Marianas,Commuter,University,Female,FT,Athelete,22,S,2005,,149,3,48,,3.5,3,2,1,2009,9,2013,
