Run Date,Drop Location,Pickup Location,Primary Destinatiion,Secondary Destination,Vehicle Type,Event Type,Overnight,Tip Grade,Customer Type,Guide,Trip Issues,Payment Type
2/15/2015,Saint Hedwigs Church,Saint Hedwigs Church,Private Residence,None,Church Bus,Corporate,Yes,Small,New,No,None,Check
8/32/2013,Johnstown,Johnstown,Kennywood Park,None,Van - Mini,Funeral,Yes,Medium,Existing,No,Accident,Credit
5/9/2013,Carbondale,Carbondale,Pennsylvania State Capitol,Carbondale,Wheelchair Bus,Tour,No,Small,Referral,Yes,None,Credit
4/6/2013,Saint Paul Cme Church,Saint Paul Cme Church,Private Residence,None,Church Bus,Wedding,Yes,Large,Existing,Yes,None,Check
12/2/2013,Meadville,Meadville,Please Touch Museum,Meadville,Propane/Alternative,Private,No,Small,Referral,No,Health Related,Personal Credit Card
10/17/2015,"Devon Preparatory School, Devon","Devon Preparatory School, Devon","Devon Preparatory School, Devon",Greensburg,School Bus,Funeral,No,Small,New,No,Maintenance,Other
2/26/2014,Beaver Falls,Beaver Falls,Kennywood Park,Beaver Falls,Town Car,Travel/Airport,No,Large,Referral,No,Health Related,Other
8/26/2013,Altoona,Altoona,Fairmount Park,Altoona,Van - Mini,Anniversay,No,None,New,No,Accident,Other
9/25/2015,Monessen,Monessen,HersThe Liberty Bell Centerheypark,None,Wheelchair Bus,Birthday,Yes,Large,Existing,No,Health Related,Personal Credit Card
4/1/2013,"Owen J. Roberts High School, Bucktown","Owen J. Roberts High School, Bucktown","Owen J. Roberts High School, Bucktown",Corry,School Bus,Holiday,No,Medium,New,Yes,None,Other
7/22/2014,DuBois,DuBois,Gettysburg National Military Park,None,Limo,Holiday,Yes,Large,New,Yes,Accident,Invoiced
6/17/2015,Butler,Butler,Pennsylvania State Capitol,None,Limo,Birthday,Yes,Large,Referral,Yes,Accident,Invoiced
1/4/2015,"Coventry Christian Schools, Pottstown","Coventry Christian Schools, Pottstown","Coventry Christian Schools, Pottstown",None,School Bus,Holiday,Yes,Large,New,No,None,Personal Credit Card
3/30/2015,Hazleton,Hazleton,City Hall,Hazleton,Limo Bus,Funeral,No,Large,New,Yes,None,Personal Credit Card
5/29/2013,Saint James Episcopal Church,Saint James Episcopal Church,Private Residence,None,Church Bus,Holiday,Yes,Small,Referral,Yes,None,Check
2/3/2015,"Kimberton Waldorf School, East Pikeland Township","Kimberton Waldorf School, East Pikeland Township","Kimberton Waldorf School, East Pikeland Township",Lebanon,School Bus,Tour,No,None,Existing,Yes,None,Invoiced
8/29/2013,Allentown,Allentown,Philadelphia Zoo,Allentown,Shuttle Bus,Birthday,No,Medium,New,Yes,Accident,Personal Credit Card
8/15/2015,Franklin,Franklin,The Franklin Institute,None,Mini Bus,College,Yes,Medium,New,No,None,Cash
10/15/2014,Farrell,Farrell,HersThe Liberty Bell Centerheypark,None,Shuttle Bus,Wedding,Yes,Large,Existing,No,Maintenance,Invoiced
10/12/2015,Hazleton,Hazleton,Carnegie Museum of Natural History,None,Propane/Alternative,Holiday,Yes,Small,New,Yes,Personal,Invoiced
1/26/2014,Johnstown,Johnstown,Dorney Park,Johnstown,Limo Bus,Birthday,No,None,Existing,Yes,Accident,Cash
1/13/2013,Lebanon,Lebanon,Fairmount Park,None,Wheelchair Bus,College,Yes,Large,Referral,No,Health Related,Personal Credit Card
10/5/2015,Chester,Chester,City Hall,None,Van - Mini,Wedding,Yes,None,New,No,Maintenance,Invoiced
3/13/2014,Lock Haven,Lock Haven,Philadelphia Zoo,Lock Haven,Shuttle Bus,College,No,None,Existing,Yes,None,Credit
9/11/2014,Meadville,Meadville,City Hall,Meadville,Wheelchair Bus,Tour,No,None,New,Yes,Personal,Invoiced
3/2/2013,Allentown,Allentown,Waldameer & Water World,None,Shuttle Bus,Private,Yes,Medium,New,Yes,Health Related,Invoiced
10/3/2014,"Bishop Shanahan High School, Downingtown","Bishop Shanahan High School, Downingtown","Bishop Shanahan High School, Downingtown",Coatesville,School Bus,Athletic,No,Medium,Existing,No,Health Related,Invoiced
12/17/2013,Latrobe,Latrobe,Carnegie Museum of Natural History,None,Shuttle Bus,Holiday,Yes,None,New,Yes,Accident,Other
5/11/2014,Lower Burrell,Lower Burrell,Betsy Ross House,None,Wheelchair Bus,Anniversay,Yes,Small,Referral,Yes,Health Related,Credit
10/19/2014,Chester,Chester,The Barnes Foundation,None,Shuttle Bus,Birthday,Yes,None,Referral,Yes,Accident,Credit
7/32/2015,Northampton,Northampton,Pennsylvania State Capitol,None,Propane/Alternative,Travel/Airport,Yes,None,New,Yes,Personal,Credit
7/21/2014,Farrell,Farrell,Waldameer & Water World,Farrell,Wheelchair Bus,Wedding,No,None,Referral,No,Personal,Cash
9/19/2013,Jeannette,Jeannette,Dutch Wonderland,None,Town Car,Travel/Airport,Yes,Small,Existing,No,Personal,Personal Credit Card
1/6/2014,Nanticoke,Nanticoke,Sesame Place,Nanticoke,Town Car,Birthday,No,None,Referral,Yes,Health Related,Invoiced
5/16/2014,Beaver Falls,Beaver Falls,Betsy Ross House,None,Van - Full Size,Athletic,Yes,Medium,New,Yes,Maintenance,Credit
11/28/2013,Coatesville,Coatesville,Eastern State Penitentiary,Coatesville,Mini Bus,Private,No,Medium,Referral,Yes,Health Related,Other
9/10/2014,Lebanon,Lebanon,City Hall,Lebanon,Limo,Wedding,No,Large,Referral,Yes,Health Related,Invoiced
4/13/2013,Farrell,Farrell,Philadelphia Museum of Art,None,Mini Bus,College,Yes,Large,Existing,No,Accident,Personal Credit Card
8/18/2014,Bethlehem,Bethlehem,Philadelphia Zoo,Bethlehem,Van - Full Size,Private,No,Small,New,Yes,Maintenance,Credit
1/26/2015,Latrobe,Latrobe,The National Civil War Museum,Latrobe,Mini Bus,Birthday,No,Large,New,Yes,Accident,Invoiced
1/5/2013,Hermitage,Hermitage,Betsy Ross House,None,Town Car,Anniversay,Yes,Large,Existing,No,Personal,Cash
1/22/2015,Archdiocese of Philadelphia,Archdiocese of Philadelphia,Archdiocese of Philadelphia,None,School Bus,Tour,Yes,None,Referral,Yes,None,Personal Credit Card
9/25/2015,Arnold,Arnold,Crystal Cave Park,Arnold,Mini Bus,Holiday,No,None,Referral,No,Maintenance,Credit
7/31/2014,Bethlehem,Bethlehem,Knoebels Amusement Resort,None,Van - Mini,Wedding,Yes,Large,Existing,No,Maintenance,Other
4/10/2013,Holy Church Of The Lord Jesus,Holy Church Of The Lord Jesus,Private Residence,None,Church Bus,Athletic,Yes,Medium,Referral,No,None,Check
9/24/2015,Nanticoke,Nanticoke,Independence Hall,None,Mini Bus,Private,Yes,None,New,Yes,Maintenance,Invoiced
7/8/2014,Farrell,Farrell,Kennywood Park,Farrell,Limo,Anniversay,No,Large,Referral,No,Personal,Invoiced
9/21/2014,Coatesville,Coatesville,King of Prussia Shopping Mall,None,Limo Bus,Wedding,Yes,Medium,Existing,Yes,Accident,Other
9/8/2014,Johnstown,Johnstown,Lost River Caverns,None,Van - Mini,Athletic,Yes,None,New,Yes,Personal,Personal Credit Card
11/19/2014,Monessen,Monessen,The Franklin Institute,Monessen,Limo Bus,Private,No,Medium,New,Yes,Accident,Personal Credit Card
2/23/2015,Greensburg,Greensburg,Gettysburg National Military Park,None,Propane/Alternative,Anniversay,Yes,Small,Existing,Yes,Accident,Personal Credit Card
9/10/2013,Greensburg,Greensburg,Sesame Place,Greensburg,Limo,Anniversay,No,Large,New,No,Health Related,Invoiced
8/12/2013,Lower Burrell,Lower Burrell,Betsy Ross House,Lower Burrell,Van - Mini,Tour,No,None,New,Yes,Accident,Other
1/16/2013,Bradford,Bradford,Kennywood Park,None,Town Car,Athletic,Yes,Large,Referral,Yes,Personal,Credit
11/12/2014,Johnstown,Johnstown,Philadelphia Museum of Art,None,Limo,Athletic,Yes,Large,New,Yes,Health Related,Invoiced
11/11/2015,Hazleton,Hazleton,Brandywine River Museum,Hazleton,Mini Bus,Tour,No,Small,New,Yes,Maintenance,Cash
8/2/2013,Coatesville,Coatesville,Betsy Ross House,Coatesville,Propane/Alternative,Private,No,None,Existing,Yes,Accident,Invoiced
10/20/2015,Pure Word Deliverance Church Of Jesus Christ,Pure Word Deliverance Church Of Jesus Christ,Private Residence,None,Church Bus,Funeral,Yes,Medium,Referral,No,None,Check
4/26/2014,Bradford,Bradford,Betsy Ross House,None,Van - Mini,Athletic,Yes,None,Referral,Yes,Maintenance,Credit
8/24/2013,"Coventry Christian Schools, Pottstown","Coventry Christian Schools, Pottstown","Coventry Christian Schools, Pottstown",Hermitage,School Bus,Travel/Airport,No,Large,New,Yes,Accident,Invoiced
8/4/2015,"Downingtown East High School, Exton","Downingtown East High School, Exton","Downingtown East High School, Exton",None,School Bus,Corporate,Yes,Large,Existing,Yes,Accident,Invoiced
4/9/2015,"Coventry Christian Schools, Pottstown","Coventry Christian Schools, Pottstown","Coventry Christian Schools, Pottstown",None,School Bus,Holiday,Yes,Large,New,No,Accident,Other
1/2/2013,Altoona,Altoona,Kennywood Park,None,Limo Bus,Wedding,Yes,None,Referral,No,Personal,Personal Credit Card
8/4/2015,Hermitage,Hermitage,Crystal Cave Park,None,Limo,Private,Yes,Large,New,Yes,Personal,Invoiced
4/20/2013,Arnold,Arnold,Betsy Ross House,Arnold,Propane/Alternative,Anniversay,No,Small,Referral,No,Accident,Credit
5/19/2014,Arnold,Arnold,Please Touch Museum,None,Propane/Alternative,Tour,Yes,None,Referral,Yes,None,Credit
5/29/2014,Corry,Corry,Gettysburg National Military Park,Corry,Shuttle Bus,College,No,Large,Existing,Yes,Maintenance,Cash
9/26/2014,Duquesne,Duquesne,The Barnes Foundation,None,Limo,College,Yes,Large,New,No,None,Invoiced
7/26/2013,Lebanon,Lebanon,Pennsylvania State Capitol,None,Van - Mini,Travel/Airport,Yes,Small,New,No,Accident,Other
2/21/2013,Lower Burrell,Lower Burrell,Independence Hall,Lower Burrell,Shuttle Bus,Wedding,No,Large,New,Yes,Accident,Credit
10/10/2013,Aliquippa,Aliquippa,Gettysburg National Military Park,Aliquippa,Limo,Birthday,No,Large,New,Yes,None,Invoiced
9/17/2013,Lancaster,Lancaster,Fairmount Park,None,Town Car,Athletic,Yes,Large,Existing,Yes,Maintenance,Other
9/2/2015,"Oxford Area High School, Oxford","Oxford Area High School, Oxford","Oxford Area High School, Oxford",None,School Bus,Holiday,Yes,Medium,New,No,Health Related,Cash
4/30/2014,Chester,Chester,Independence Hall,None,Wheelchair Bus,Funeral,Yes,Small,New,No,Health Related,Invoiced
7/1/2013,Chester,Chester,Crystal Cave Park,Chester,Town Car,Birthday,No,Medium,New,No,Maintenance,Invoiced
2/8/2013,"West Chester Christian School, West Chester","West Chester Christian School, West Chester","West Chester Christian School, West Chester",Erie,School Bus,Private,No,None,Referral,Yes,Health Related,Invoiced
8/16/2015,Hermitage,Hermitage,The National Civil War Museum,Hermitage,Wheelchair Bus,Holiday,No,None,Existing,No,Maintenance,Cash
5/7/2014,Lower Burrell,Lower Burrell,Fairmount Park,None,Van - Mini,Corporate,Yes,Large,Existing,No,None,Invoiced
5/14/2014,McKeesport,McKeesport,Dorney Park,None,Town Car,Wedding,Yes,Medium,Existing,Yes,Accident,Other
3/24/2015,Carbondale,Carbondale,Kennywood Park,Carbondale,Van - Full Size,Corporate,No,Medium,Referral,Yes,Personal,Other
5/26/2014,McKeesport,McKeesport,City Hall,None,Wheelchair Bus,Athletic,Yes,Large,Referral,No,Health Related,Personal Credit Card
11/27/2014,Lock Haven,Lock Haven,Independence Hall,None,Van - Full Size,College,Yes,None,New,No,Accident,Personal Credit Card
1/31/2013,Lancaster,Lancaster,City Hall,None,Shuttle Bus,Private,Yes,Medium,Referral,No,Personal,Credit
8/18/2015,Grace-Community United Methodist Church,Grace-Community United Methodist Church,Private Residence,Monessen,Church Bus,Corporate,No,Medium,Referral,Yes,None,Check
8/20/2015,Harrisburg,Harrisburg,Pennsylvania State Capitol,Harrisburg,Van - Full Size,Corporate,No,Large,Referral,Yes,Accident,Other
11/15/2014,McKeesport,McKeesport,Waldameer & Water World,McKeesport,Van - Full Size,Corporate,No,None,Referral,Yes,Health Related,Credit
5/1/2014,Jeannette,Jeannette,Please Touch Museum,None,Limo Bus,Travel/Airport,Yes,Large,New,Yes,None,Credit
7/30/2015,Northampton,Northampton,Dutch Wonderland,None,Mini Bus,Funeral,Yes,Small,Referral,No,Health Related,Other
3/25/2015,Bradford,Bradford,Lost River Caverns,None,Town Car,Tour,Yes,Large,New,Yes,Health Related,Personal Credit Card
8/20/2013,Carbondale,Carbondale,Gettysburg National Military Park,None,Town Car,Tour,Yes,Medium,New,Yes,Accident,Personal Credit Card
9/16/2013,Meadville,Meadville,Philadelphia Zoo,None,Town Car,Tour,Yes,None,New,Yes,Accident,Other
2/6/2014,Allentown,Allentown,Crystal Cave Park,Allentown,Town Car,Corporate,No,Small,Referral,Yes,Personal,Personal Credit Card
5/26/2014,Lebanon,Lebanon,Fairmount Park,Lebanon,Van - Full Size,Holiday,No,Medium,New,Yes,None,Cash
11/22/2014,DuBois,DuBois,Dutch Wonderland,None,Town Car,Birthday,Yes,Large,Referral,Yes,Health Related,Personal Credit Card
3/22/2015,St Paul's Church,St Paul's Church,Private Residence,Latrobe,Church Bus,College,No,Large,Referral,Yes,None,Check
9/8/2013,Jeannette,Jeannette,Sesame Place,None,Wheelchair Bus,Travel/Airport,Yes,Large,Referral,No,Health Related,Other
12/14/2013,Bethlehem,Bethlehem,Fairmount Park,None,Van - Full Size,College,Yes,Large,Referral,No,Health Related,Other
3/2/2015,Greensburg,Greensburg,King of Prussia Shopping Mall,None,Shuttle Bus,College,Yes,Small,New,Yes,Maintenance,Personal Credit Card
2/8/2014,Farrell,Farrell,Betsy Ross House,None,Limo Bus,Tour,Yes,None,New,Yes,Maintenance,Credit
10/4/2013,Johnstown,Johnstown,HersThe Liberty Bell Centerheypark,None,Shuttle Bus,Corporate,Yes,Small,New,Yes,Health Related,Cash
1/15/2015,Lock Haven,Lock Haven,Pennsylvania State Capitol,None,Wheelchair Bus,Birthday,Yes,None,Existing,Yes,Health Related,Other
11/12/2014,"Bishop Shanahan High School, Downingtown","Bishop Shanahan High School, Downingtown","Bishop Shanahan High School, Downingtown",Monessen,School Bus,Travel/Airport,No,Large,Existing,No,None,Cash
2/9/2015,Allentown,Allentown,Fairmount Park,None,Van - Mini,Corporate,Yes,Large,Referral,No,Maintenance,Other
5/23/2013,Clairton,Clairton,The National Civil War Museum,Clairton,Van - Mini,Athletic,No,None,New,Yes,Health Related,Invoiced
8/24/2015,Duquesne,Duquesne,Lost River Caverns,None,Propane/Alternative,College,Yes,None,Existing,Yes,Accident,Other
9/31/2015,Cornerstone Christian Ministries,Cornerstone Christian Ministries,Private Residence,None,Church Bus,Athletic,Yes,Small,Referral,No,None,Check
4/3/2015,Monongahela,Monongahela,City Hall,None,Town Car,Funeral,Yes,Small,Existing,No,Accident,Cash
1/17/2013,Lower Burrell,Lower Burrell,Crystal Cave Park,None,Town Car,Athletic,Yes,Large,Existing,Yes,Personal,Other
3/1/2015,The Cathedral Saint Mark Christian Community Church,The Cathedral Saint Mark Christian Community Church,Private Residence,None,Church Bus,Corporate,Yes,Large,Referral,Yes,None,Check
4/27/2013,Coatesville,Coatesville,Betsy Ross House,Coatesville,Mini Bus,Travel/Airport,No,Small,New,No,Accident,Credit
7/32/2014,Corry,Corry,Carnegie Museum of Natural History,None,Wheelchair Bus,Athletic,Yes,Medium,Existing,No,Health Related,Personal Credit Card
10/28/2014,Franklin,Franklin,Crystal Cave Park,None,Limo,Wedding,Yes,Large,Existing,Yes,Maintenance,Invoiced
1/26/2014,Aaron Tabernacle United Holiness Church of Life,Aaron Tabernacle United Holiness Church of Life,Private Residence,Allentown,Church Bus,Corporate,No,Small,Referral,No,None,Check
9/21/2014,Meadville,Meadville,Brandywine River Museum,Meadville,Town Car,College,No,Small,Referral,No,Health Related,Other
9/10/2014,Coatesville,Coatesville,Kennywood Park,None,Limo Bus,Wedding,Yes,Small,Existing,No,None,Invoiced
2/14/2013,Latrobe,Latrobe,Philadelphia Museum of Art,Latrobe,Limo,Wedding,No,Large,Existing,No,Accident,Invoiced
4/16/2015,DuBois,DuBois,Please Touch Museum,DuBois,Limo,College,No,Large,New,Yes,Accident,Invoiced
6/8/2015,Lebanon,Lebanon,Fairmount Park,None,Limo,Athletic,Yes,Large,New,No,Maintenance,Invoiced
2/16/2014,Greensburg,Greensburg,Fairmount Park,None,Town Car,Tour,Yes,Large,Referral,Yes,Accident,Cash
5/2/2014,Franklin,Franklin,Eastern State Penitentiary,Franklin,Propane/Alternative,Holiday,No,Large,Referral,Yes,None,Cash
1/22/2013,Jeannette,Jeannette,Knoebels Amusement Resort,None,Van - Full Size,Funeral,Yes,None,New,Yes,Accident,Cash
10/27/2013,Community Baptist Church,Community Baptist Church,Private Residence,Monessen,Church Bus,College,No,Medium,Referral,No,None,Check
8/17/2014,Beaver Falls,Beaver Falls,Philadelphia Zoo,None,Wheelchair Bus,Tour,Yes,None,Referral,Yes,Health Related,Credit
7/18/2015,Greensburg,Greensburg,King of Prussia Shopping Mall,None,Wheelchair Bus,Funeral,Yes,Small,Existing,Yes,Health Related,Invoiced
1/10/2013,Greater Israel Apostolic Fellowship,Greater Israel Apostolic Fellowship,Private Residence,Monongahela,Church Bus,Corporate,No,Small,Existing,Yes,None,Check
2/1/2014,"Conestoga High School, Berwyn","Conestoga High School, Berwyn","Conestoga High School, Berwyn",Harrisburg,School Bus,Birthday,No,None,Referral,No,Accident,Other
4/20/2014,Northampton,Northampton,Please Touch Museum,None,Van - Mini,Corporate,Yes,Large,New,No,Health Related,Credit
3/23/2013,Latrobe,Latrobe,Eastern State Penitentiary,None,Van - Mini,Birthday,Yes,None,New,No,Personal,Credit
1/20/2015,McKeesport,McKeesport,Fairmount Park,McKeesport,Wheelchair Bus,Tour,No,Large,Existing,Yes,Accident,Other
1/23/2014,"Kimberton Waldorf School, East Pikeland Township","Kimberton Waldorf School, East Pikeland Township","Kimberton Waldorf School, East Pikeland Township",None,School Bus,Athletic,Yes,None,New,No,Accident,Cash
3/3/2013,Lancaster,Lancaster,Crystal Cave Park,None,Propane/Alternative,Birthday,Yes,Large,Referral,Yes,Accident,Cash
1/23/2014,Butler,Butler,Please Touch Museum,Butler,Van - Mini,Birthday,No,Small,New,Yes,Accident,Invoiced
1/6/2015,Johnstown,Johnstown,City Hall,None,Shuttle Bus,College,Yes,None,Referral,Yes,Maintenance,Cash
3/30/2015,Hermitage,Hermitage,Gettysburg National Military Park,Hermitage,Van - Mini,Athletic,No,Small,Referral,Yes,Health Related,Personal Credit Card
2/6/2015,Aliquippa,Aliquippa,Philadelphia Museum of Art,Aliquippa,Shuttle Bus,Funeral,No,Small,Existing,Yes,Accident,Invoiced
8/20/2013,Greensburg,Greensburg,Betsy Ross House,Greensburg,Wheelchair Bus,Athletic,No,Medium,Referral,No,Personal,Other
4/18/2015,"CFS, The School at Church Farm, Paoli","CFS, The School at Church Farm, Paoli","CFS, The School at Church Farm, Paoli",Arnold,School Bus,College,No,Small,Referral,Yes,Personal,Invoiced
1/32/2015,Harrisburg,Harrisburg,The Barnes Foundation,Harrisburg,Van - Full Size,Wedding,No,None,Referral,Yes,Health Related,Credit
5/25/2014,Corry,Corry,Please Touch Museum,Corry,Limo Bus,Athletic,No,Medium,Existing,Yes,Personal,Other
7/3/2013,Jeannette,Jeannette,HersThe Liberty Bell Centerheypark,None,Propane/Alternative,Private,Yes,Medium,Referral,Yes,Personal,Personal Credit Card
6/25/2013,Duquesne,Duquesne,Independence Hall,Duquesne,Mini Bus,Holiday,No,Medium,Existing,Yes,None,Personal Credit Card
7/32/2015,Monongahela,Monongahela,Fairmount Park,Monongahela,Van - Mini,Athletic,No,Medium,Referral,Yes,Maintenance,Invoiced
12/29/2013,Bethlehem,Bethlehem,City Hall,None,Town Car,Corporate,Yes,Medium,Existing,Yes,Accident,Other
8/14/2015,Aliquippa,Aliquippa,The National Civil War Museum,None,Van - Mini,Private,Yes,Medium,Referral,Yes,None,Personal Credit Card
9/29/2015,Saint Anthony Of Padua Church,Saint Anthony Of Padua Church,Private Residence,None,Church Bus,Corporate,Yes,Medium,Existing,No,None,Check
2/15/2015,Jeannette,Jeannette,Gettysburg National Military Park,None,Shuttle Bus,Funeral,Yes,Large,Referral,No,Health Related,Personal Credit Card
4/2/2013,Latrobe,Latrobe,Knoebels Amusement Resort,None,Wheelchair Bus,Wedding,Yes,Small,New,Yes,Health Related,Personal Credit Card
8/10/2013,Arnold,Arnold,Knoebels Amusement Resort,None,Shuttle Bus,Funeral,Yes,Large,Existing,No,None,Invoiced
5/25/2013,Hermitage,Hermitage,Carnegie Museum of Natural History,Hermitage,Wheelchair Bus,Travel/Airport,No,None,Referral,No,Accident,Cash
10/21/2013,Carbondale,Carbondale,Brandywine River Museum,None,Limo Bus,Holiday,Yes,Large,Existing,No,Health Related,Credit
4/14/2015,Easton,Easton,Carnegie Museum of Natural History,Easton,Limo Bus,Private,No,Small,Referral,Yes,Maintenance,Other
7/32/2013,Meadville,Meadville,Fairmount Park,Meadville,Town Car,Wedding,No,Large,Referral,Yes,None,Personal Credit Card
8/30/2015,Faith In God Pentecostal Church,Faith In God Pentecostal Church,Private Residence,McKeesport,Church Bus,Birthday,No,Large,Existing,No,None,Check
9/23/2015,Meadville,Meadville,Dutch Wonderland,None,Town Car,Holiday,Yes,None,Referral,No,Health Related,Personal Credit Card
4/29/2014,"Owen J. Roberts High School, Bucktown","Owen J. Roberts High School, Bucktown","Owen J. Roberts High School, Bucktown",Harrisburg,School Bus,Travel/Airport,No,Medium,Existing,Yes,Personal,Personal Credit Card
1/24/2013,Chester,Chester,Philadelphia Zoo,Chester,Limo Bus,Private,No,Medium,New,No,Maintenance,Other
7/25/2013,McKeesport,McKeesport,Carnegie Museum of Natural History,None,Shuttle Bus,Birthday,Yes,None,Referral,No,Maintenance,Other
12/13/2013,Meadville,Meadville,Fairmount Park,None,Limo Bus,Birthday,Yes,Small,New,No,Maintenance,Other
11/13/2015,Butler,Butler,Dutch Wonderland,Butler,Limo,Corporate,No,Large,New,Yes,Accident,Invoiced
9/26/2013,Hermitage,Hermitage,The National Civil War Museum,None,Town Car,Travel/Airport,Yes,None,Referral,No,None,Other
5/21/2014,"Coatesville Area High School, Coatesville","Coatesville Area High School, Coatesville","Coatesville Area High School, Coatesville",None,School Bus,Travel/Airport,Yes,Medium,Referral,Yes,Maintenance,Credit
7/14/2015,Johnstown,Johnstown,Eastern State Penitentiary,Johnstown,Wheelchair Bus,Tour,No,Large,Referral,Yes,None,Invoiced
3/3/2014,Erie,Erie,King of Prussia Shopping Mall,Erie,Wheelchair Bus,Corporate,No,Small,Existing,Yes,Maintenance,Cash
8/5/2015,Erie,Erie,Waldameer & Water World,None,Mini Bus,Wedding,Yes,Large,New,Yes,Maintenance,Credit
7/8/2015,Franklin,Franklin,Pennsylvania State Capitol,None,Limo Bus,College,Yes,Large,New,No,Maintenance,Cash
6/22/2013,Monessen,Monessen,Please Touch Museum,Monessen,Mini Bus,Corporate,No,Large,Referral,Yes,Personal,Credit
6/5/2013,Christian and Missionary Church,Christian and Missionary Church,Private Residence,None,Church Bus,Birthday,Yes,Medium,Referral,No,None,Check
8/4/2014,Whiterock Baptist Church,Whiterock Baptist Church,Private Residence,None,Church Bus,Athletic,Yes,Medium,Existing,Yes,None,Check
3/10/2015,Farrell,Farrell,Dutch Wonderland,None,Limo Bus,College,Yes,Medium,New,No,Maintenance,Other
1/26/2015,Erie,Erie,Dorney Park,Erie,Van - Mini,Travel/Airport,No,Medium,Existing,Yes,Accident,Credit
3/10/2014,Lock Haven,Lock Haven,Brandywine River Museum,None,Wheelchair Bus,Corporate,Yes,Medium,Referral,No,Health Related,Cash
11/21/2015,Chester,Chester,HersThe Liberty Bell Centerheypark,Chester,Van - Full Size,Wedding,No,Large,Referral,No,Accident,Personal Credit Card
6/19/2013,Latrobe,Latrobe,Carnegie Museum of Natural History,Latrobe,Mini Bus,Corporate,No,Medium,Referral,No,Personal,Personal Credit Card
1/27/2015,"Woodlynde School, Strafford","Woodlynde School, Strafford","Woodlynde School, Strafford",None,School Bus,Athletic,Yes,Small,New,Yes,Accident,Personal Credit Card
1/11/2015,Bethlehem,Bethlehem,Brandywine River Museum,None,Limo Bus,Corporate,Yes,Medium,Referral,Yes,None,Invoiced
1/15/2015,Altoona,Altoona,Dutch Wonderland,None,Town Car,Tour,Yes,None,Existing,Yes,Health Related,Other
1/4/2013,Latrobe,Latrobe,The Franklin Institute,None,Town Car,Wedding,Yes,Medium,Existing,No,None,Personal Credit Card
3/2/2014,Altoona,Altoona,Brandywine River Museum,None,Town Car,Holiday,Yes,None,New,No,Accident,Other
5/31/2013,Northampton,Northampton,Betsy Ross House,None,Shuttle Bus,College,Yes,Medium,New,Yes,Health Related,Invoiced
5/31/2014,Lancaster,Lancaster,Carnegie Museum of Natural History,None,Van - Full Size,Wedding,Yes,Medium,Existing,Yes,Maintenance,Personal Credit Card
3/25/2014,"Center for Arts and Technology: Pickering, Phoenixville","Center for Arts and Technology: Pickering, Phoenixville","Center for Arts and Technology: Pickering, Phoenixville",None,School Bus,Athletic,Yes,Small,New,No,Health Related,Invoiced
11/11/2014,Obed-Edom Spanish Group,Obed-Edom Spanish Group,Private Residence,Clairton,Church Bus,Holiday,No,Large,Referral,No,None,Check
1/26/2013,Duquesne,Duquesne,Fairmount Park,Duquesne,Mini Bus,Holiday,No,None,New,No,None,Personal Credit Card
6/18/2013,Beaver Falls,Beaver Falls,Gettysburg National Military Park,Beaver Falls,Van - Full Size,Corporate,No,Medium,New,No,None,Invoiced
9/1/2013,Holy Ghost Parish,Holy Ghost Parish,Private Residence,McKeesport,Church Bus,College,No,Small,Referral,No,None,Check
3/16/2013,New Hope United Holy Baptist Church,New Hope United Holy Baptist Church,Private Residence,None,Church Bus,Corporate,Yes,Large,Existing,Yes,None,Check
7/21/2014,Butler,Butler,Kennywood Park,None,Town Car,Tour,Yes,Large,New,Yes,None,Personal Credit Card
2/11/2014,McKeesport,McKeesport,Eastern State Penitentiary,McKeesport,Shuttle Bus,Private,No,Medium,Existing,No,Personal,Credit
4/18/2014,Harrisburg,Harrisburg,The National Civil War Museum,Harrisburg,Town Car,Tour,No,Large,Existing,Yes,Maintenance,Personal Credit Card
12/17/2013,Altoona,Altoona,Dutch Wonderland,None,Shuttle Bus,College,Yes,Large,New,Yes,Accident,Personal Credit Card
7/19/2013,Jeannette,Jeannette,Please Touch Museum,None,Shuttle Bus,Funeral,Yes,Large,New,Yes,Maintenance,Cash
1/28/2014,Duquesne,Duquesne,Please Touch Museum,Duquesne,Town Car,Tour,No,Large,Existing,Yes,Personal,Personal Credit Card
6/29/2015,"Woodlynde School, Strafford","Woodlynde School, Strafford","Woodlynde School, Strafford",Chester,School Bus,Funeral,No,Small,New,Yes,Personal,Credit
4/29/2013,Farrell,Farrell,Fairmount Park,Farrell,Shuttle Bus,Travel/Airport,No,Small,Referral,Yes,Accident,Invoiced
3/13/2014,"Devon Preparatory School, Devon","Devon Preparatory School, Devon","Devon Preparatory School, Devon",None,School Bus,Corporate,Yes,Medium,Referral,No,Personal,Personal Credit Card
4/12/2015,Meadville,Meadville,The Franklin Institute,Meadville,Shuttle Bus,Tour,No,None,Referral,Yes,Accident,Cash
5/30/2014,Allentown,Allentown,Fairmount Park,None,Wheelchair Bus,Holiday,Yes,Medium,New,No,Health Related,Credit
10/14/2015,Allentown,Allentown,Knoebels Amusement Resort,Allentown,Town Car,Travel/Airport,No,Large,Referral,Yes,Maintenance,Personal Credit Card
1/5/2015,Jeannette,Jeannette,Philadelphia Zoo,None,Limo,Holiday,Yes,Large,Referral,No,Personal,Invoiced
