CoinIn,Age,Type,Theme,Location,Month,Day,Denomination,Event,Weather,Promotion,Coupons,Holiday,Smoking,Promo,coupons,weather
983,13,4,17,1,2,5,8,2,30,2,1,2,2,1,8,16
868,6,1,22,1,12,5,6,2,32,1,2,1,1,3,2,10
733,19,3,8,8,9,5,7,2,3,1,1,1,1,5,4,4
824,20,5,16,1,10,4,12,2,19,2,2,1,1,3,7,19
46,4,1,12,8,4,4,12,1,36,1,1,2,1,3,4,24
1341,20,2,9,8,11,2,6,1,20,1,2,1,2,3,2,21
1531,9,4,6,7,11,3,13,1,5,1,1,2,2,6,3,2
578,12,1,2,8,8,5,14,1,35,1,1,2,2,1,3,33
963,14,1,22,4,1,4,5,2,12,1,1,2,2,2,6,31
932,20,4,8,9,3,2,6,1,27,2,1,2,2,6,3,4
478,15,3,16,9,12,1,7,2,25,1,1,1,1,4,7,9
479,3,3,10,9,12,4,9,2,2,1,2,1,1,5,7,25
1514,3,4,22,1,11,5,2,1,9,2,1,2,1,3,4,18
1460,20,5,7,6,1,2,6,1,36,2,1,2,1,2,6,15
1495,19,5,20,6,4,6,5,1,6,1,1,2,2,3,8,4
334,7,4,15,6,10,4,2,1,40,2,2,2,1,1,5,2
101,20,1,16,1,7,7,14,1,19,2,1,1,2,5,6,29
504,13,4,9,4,5,5,6,1,39,2,1,1,2,2,4,39
728,6,1,16,3,2,2,14,2,7,1,1,1,2,3,3,36
511,2,5,5,1,5,4,14,2,24,1,2,2,2,1,3,38
129,13,3,14,7,3,4,6,1,6,1,1,1,1,5,3,14
844,8,4,14,1,11,3,4,1,26,1,2,1,1,4,6,13
1530,14,5,1,5,4,1,8,1,33,2,1,1,2,1,6,39
226,20,5,11,6,3,7,12,2,33,1,1,2,1,3,5,13
212,11,4,21,4,5,1,7,1,13,2,2,1,1,5,2,16
1286,10,4,10,7,7,5,10,2,5,2,1,1,1,2,3,36
1947,20,2,1,9,10,5,3,1,29,1,1,1,1,6,5,11
984,10,5,19,5,9,6,8,1,30,2,1,2,2,2,4,22
103,19,1,1,9,2,1,10,2,2,1,1,2,1,2,5,11
2026,11,2,17,3,9,5,3,1,40,1,1,1,2,4,8,10
1649,6,4,19,5,4,5,14,2,6,2,2,1,2,5,8,12
943,17,5,7,5,2,1,4,2,18,2,1,2,1,4,2,15
350,14,3,9,1,6,1,8,2,19,1,1,2,2,2,7,11
1724,9,1,17,5,8,4,14,1,31,1,2,2,2,1,6,15
753,4,5,11,4,8,6,11,2,5,1,1,2,2,1,5,21
1992,14,3,16,4,12,1,13,2,19,2,1,2,2,6,5,13
1954,8,3,20,4,1,1,9,1,12,2,1,2,1,3,9,5
1520,19,2,5,4,8,3,14,1,9,2,2,1,1,6,7,5
1998,18,3,20,9,5,5,13,1,17,1,2,2,1,2,3,11
1502,20,2,9,1,10,6,14,2,37,1,1,2,1,6,4,3
1461,7,2,14,3,4,2,12,2,7,2,1,1,1,5,5,19
1353,16,3,10,7,12,5,8,1,21,2,1,2,1,3,9,12
293,13,5,20,6,8,6,3,1,14,2,1,2,2,1,9,1
754,13,5,11,4,1,6,6,1,38,1,1,1,1,2,8,31
260,16,4,12,5,11,2,7,2,24,2,1,2,2,1,6,13
1022,3,3,15,2,9,5,6,2,23,2,2,1,1,4,2,23
1704,11,5,20,7,2,5,10,1,9,2,1,1,1,4,3,15
1336,5,1,2,3,9,6,2,2,27,2,1,2,1,6,3,36
2,13,1,4,6,7,6,10,1,34,1,1,1,2,2,7,22
1816,6,5,18,2,4,6,9,2,30,2,2,2,1,6,8,5
1196,13,2,11,5,1,7,8,1,33,2,2,1,1,5,8,29
395,18,2,2,5,1,3,10,1,11,2,1,2,1,4,6,24
1428,10,3,12,9,5,1,4,1,32,2,1,1,1,5,6,7
180,15,4,12,3,4,5,9,2,26,1,2,2,2,5,5,13
1379,11,4,5,6,11,1,4,2,24,2,2,2,2,4,9,19
261,14,1,20,9,11,5,2,2,18,2,1,1,1,5,8,1
53,13,5,3,7,8,7,4,2,22,2,2,2,2,2,5,11
256,20,5,11,4,9,2,12,1,15,1,2,1,1,5,3,11
53,14,1,9,6,11,2,9,1,24,1,1,2,2,3,6,18
236,4,3,17,9,9,7,8,1,8,2,2,2,1,5,4,25
1493,18,3,13,2,3,7,11,2,16,1,1,1,2,1,8,38
1606,11,1,13,8,5,4,6,2,16,2,1,1,1,1,9,17
1357,13,2,11,8,8,7,11,2,32,2,2,2,2,4,9,7
1974,17,4,22,7,3,7,8,2,36,2,2,2,2,5,9,9
1249,5,2,20,4,7,2,10,1,27,1,1,1,2,6,6,3
317,5,4,3,5,3,2,8,2,26,2,2,2,2,3,5,39
2161,13,3,15,4,7,4,4,2,16,2,2,2,1,1,4,16
1117,20,5,3,7,6,4,6,1,32,2,2,1,1,5,8,24
1494,7,4,21,7,12,5,9,1,23,2,2,1,1,2,6,23
1924,12,4,17,1,7,5,8,2,27,1,1,2,2,2,6,36
1913,16,4,1,4,11,2,10,2,10,2,1,2,1,1,6,17
526,17,2,2,7,7,6,10,2,21,1,2,2,1,3,2,11
754,14,2,18,8,1,2,10,1,40,1,2,2,2,6,4,35
1563,13,2,10,4,8,3,2,1,31,2,2,1,1,5,2,2
1115,16,2,20,6,1,3,7,1,17,2,1,1,1,3,6,1
1844,8,4,20,4,6,5,5,2,21,2,2,1,1,3,4,24
858,18,1,15,6,3,6,12,2,15,1,1,1,1,6,7,3
698,1,5,22,1,10,5,9,2,15,1,1,1,2,4,9,3
304,4,1,18,1,8,2,6,2,2,2,2,1,1,1,6,32
171,12,2,19,5,3,6,3,2,11,2,1,1,2,4,5,1
965,19,5,4,2,6,2,8,2,21,1,2,1,2,4,2,5
1490,9,4,18,7,4,1,2,2,21,1,1,2,2,5,7,37
2048,2,3,2,6,2,6,9,1,19,2,1,2,1,6,2,22
2021,11,5,15,6,2,4,11,2,31,1,1,2,2,3,3,15
59,7,4,18,3,4,1,5,1,25,1,2,2,2,6,7,30
805,4,4,14,2,4,5,10,1,34,1,1,2,1,4,3,6
1499,18,5,3,4,12,3,6,2,9,1,1,1,1,4,8,10
387,11,1,3,3,7,5,6,1,24,1,1,1,1,5,9,13
2140,14,2,15,9,8,1,13,1,8,1,2,2,1,5,8,19
1580,7,4,13,5,6,3,7,2,19,1,1,1,1,2,3,1
1659,8,1,4,2,4,5,10,1,22,2,1,2,1,4,5,2
1265,10,4,19,2,2,3,13,2,11,1,1,1,1,3,2,4
101,9,1,12,1,3,1,2,2,38,1,2,2,2,1,4,1
435,16,3,11,1,7,6,6,2,12,2,2,1,2,4,6,30
249,17,2,5,8,9,7,11,1,5,1,1,1,2,2,3,10
1863,19,4,20,9,10,3,13,2,8,2,2,1,2,6,2,14
333,13,1,9,9,9,7,13,1,10,2,1,2,2,3,6,16
1203,15,3,18,9,8,1,7,2,33,1,2,1,1,2,7,39
305,19,5,12,1,8,6,11,2,11,2,1,1,1,3,9,12
25,4,1,5,6,11,6,8,2,8,1,2,1,2,1,5,29
318,10,1,14,6,12,4,10,2,9,1,1,1,1,4,7,18
1384,17,1,21,4,5,7,13,2,10,2,1,2,2,1,5,27
1185,11,4,19,7,3,2,12,1,14,1,2,2,2,5,8,16
60,4,3,13,8,9,2,5,2,6,2,2,1,2,1,3,39
1847,20,5,16,1,9,5,8,2,9,2,1,2,1,3,6,32
1555,11,5,22,5,10,3,9,2,7,2,2,2,1,1,4,28
428,2,2,18,8,10,3,11,1,40,2,2,2,1,3,3,39
169,5,4,5,6,3,7,3,2,28,1,2,1,1,1,8,22
749,15,4,18,6,9,2,3,2,36,2,1,1,1,5,8,10
354,5,4,14,9,5,5,3,1,35,2,2,1,2,4,6,32
122,11,5,10,4,5,3,3,2,8,2,2,1,2,3,7,2
1192,12,3,1,4,3,6,4,1,22,1,2,2,1,1,8,33
715,12,1,21,6,8,5,9,1,19,2,2,2,1,1,8,23
1958,8,4,19,8,10,3,6,1,5,1,2,1,2,1,2,3
112,15,3,17,6,5,4,11,1,37,2,1,2,1,1,2,17
1168,6,5,1,2,2,5,9,2,20,2,2,1,2,5,8,5
2103,10,2,20,7,10,5,2,1,40,2,2,1,1,4,2,6
1386,5,5,3,3,8,1,6,1,4,2,1,2,1,4,9,16
1329,2,1,18,3,4,6,12,2,5,2,2,2,1,4,9,9
1517,2,1,7,4,3,3,11,1,34,1,1,1,1,5,6,17
214,5,2,20,3,1,5,11,1,22,2,2,2,1,1,8,37
2147,20,5,7,7,7,2,9,1,32,2,1,1,2,3,3,37
1332,4,4,5,4,4,1,2,2,15,1,2,1,2,6,6,25
586,11,1,18,1,5,3,5,1,5,1,1,2,1,5,7,25
1087,2,1,3,5,1,3,14,2,10,2,2,1,1,2,9,5
1941,6,3,13,1,2,7,3,2,3,2,2,1,2,4,8,14
2169,1,4,1,1,1,4,8,1,15,2,2,2,1,6,5,4
1509,8,3,6,1,8,2,13,1,27,2,1,2,2,6,8,36
1635,3,3,20,7,3,2,7,2,18,1,1,1,1,6,9,13
182,13,2,16,5,8,2,4,2,11,2,1,1,1,2,7,7
1424,3,3,3,8,5,2,6,1,33,2,2,2,2,6,6,28
1942,17,3,15,4,3,3,2,2,4,2,1,1,1,3,9,15
949,18,2,8,9,5,6,3,2,28,1,2,2,1,1,6,1
771,2,5,22,3,3,6,14,1,3,1,2,1,1,4,9,37
73,15,5,21,7,7,7,4,2,31,1,2,2,2,2,4,4
855,19,4,14,1,4,1,7,2,26,2,1,1,1,3,3,34
1298,5,2,17,9,3,5,10,2,30,1,1,1,1,3,7,33
925,6,3,11,9,7,2,8,1,24,2,2,2,1,2,5,39
231,15,5,17,3,3,6,4,2,32,2,1,2,2,4,3,1
1505,11,1,7,7,7,5,10,2,32,1,2,2,1,4,3,39
1856,13,2,14,4,9,6,8,2,11,2,2,1,1,6,6,31
164,15,1,7,3,11,6,10,1,12,1,1,1,2,1,9,20
1521,2,1,9,6,4,5,5,1,27,1,2,2,1,1,8,8
130,16,3,4,5,3,3,12,2,7,2,1,1,1,3,6,10
1060,9,4,19,8,5,3,13,2,14,1,2,1,2,3,8,37
529,12,4,19,7,5,6,11,2,25,1,2,2,2,6,6,11
298,12,2,5,8,1,4,4,1,8,1,1,1,1,4,4,24
1783,2,3,11,1,8,3,14,2,26,2,1,2,2,1,4,12
2097,18,4,4,4,2,5,4,2,22,2,1,2,2,1,8,34
1860,8,2,11,9,7,3,10,2,15,2,1,1,2,5,6,2
246,5,2,2,7,5,4,13,1,25,2,2,1,1,1,7,39
905,13,3,22,4,7,2,4,1,2,1,2,1,1,4,9,3
933,18,1,10,4,6,4,3,2,28,2,2,2,1,6,2,31
1281,15,4,1,5,2,7,13,1,38,2,2,1,1,3,3,30
1006,12,2,11,7,12,2,10,2,6,2,2,1,2,2,9,11
574,20,4,1,6,10,5,11,1,14,1,1,2,1,4,4,29
1469,13,5,3,7,5,4,13,2,2,1,2,1,1,6,4,29
8,5,3,12,6,1,1,14,2,12,2,2,2,1,1,7,11
879,6,2,11,2,9,3,4,2,12,2,2,2,2,2,3,5
731,18,3,13,5,5,2,11,1,16,1,1,1,1,2,7,12
1968,1,2,8,8,10,2,12,2,26,1,2,2,1,3,2,17
344,13,3,16,1,1,5,12,2,39,1,1,2,1,6,9,12
1361,16,1,2,5,2,4,2,1,4,1,1,1,2,6,3,22
1028,13,4,16,8,10,2,7,1,21,1,1,2,2,6,7,38
2167,5,5,8,9,4,1,7,2,5,1,2,1,2,4,7,32
1515,1,4,9,4,8,4,11,1,3,2,2,2,1,3,9,5
174,14,1,20,7,8,5,7,1,29,1,1,2,1,5,4,15
1208,20,5,14,3,7,5,13,1,29,1,2,1,2,1,9,7
186,8,5,10,8,1,2,14,1,33,1,1,1,2,2,4,4
1371,6,2,21,4,8,3,6,2,13,1,1,1,2,6,7,12
1755,14,4,16,3,8,6,7,2,11,2,2,1,2,5,8,2
1146,16,3,12,4,11,5,8,2,3,2,1,1,1,1,7,7
588,15,2,17,9,5,3,12,1,21,2,1,1,2,3,3,38
349,15,5,10,6,5,7,6,2,16,2,1,2,2,3,8,11
1733,1,4,7,4,1,5,4,1,38,1,2,2,2,2,5,8
1332,1,3,19,7,6,3,9,2,6,2,2,1,2,4,5,36
1744,5,2,2,5,12,3,3,1,30,2,1,2,1,2,2,22
1730,3,3,9,7,1,2,6,1,25,2,1,2,2,5,8,7
1919,6,1,5,7,4,7,11,1,38,1,2,2,1,1,8,15
324,12,5,14,5,9,3,12,1,27,1,2,1,1,5,5,39
851,4,4,9,1,1,2,4,2,21,2,1,1,1,2,8,26
1516,14,5,6,8,6,6,8,1,1,2,2,2,1,3,5,32
620,18,1,13,5,9,6,10,1,26,1,1,2,1,6,8,16
1558,17,5,5,7,6,5,2,2,29,1,1,1,2,1,4,31
524,18,3,3,5,6,5,7,2,35,2,1,1,1,6,4,5
419,19,3,15,4,2,2,5,2,31,2,1,1,1,4,4,4
1883,17,5,8,8,3,4,4,1,24,1,2,1,2,3,4,8
1965,17,3,13,3,8,3,7,2,13,2,2,2,2,5,8,6
521,19,1,11,1,11,5,11,1,11,1,1,1,1,2,8,15
1341,20,1,16,9,12,2,2,1,39,1,1,2,2,4,6,11
1245,5,5,21,3,12,2,14,2,13,2,1,2,2,1,4,22
428,7,1,20,1,7,1,12,1,31,1,1,2,1,4,4,38
267,20,2,5,8,1,4,13,1,18,2,2,2,2,1,6,27
1068,13,3,11,2,2,4,7,1,15,2,2,1,1,4,4,29
1006,10,2,5,2,9,2,14,2,36,2,2,2,1,5,6,35
437,4,5,14,8,7,4,9,2,29,2,1,2,2,6,3,16
1218,10,3,4,4,1,5,2,2,10,1,2,2,1,3,8,6
1875,3,5,11,6,4,2,10,2,38,2,2,2,2,6,5,38
233,2,1,17,1,7,7,4,2,10,2,2,1,2,3,5,9
135,12,4,21,8,5,5,8,2,1,2,1,1,2,1,3,24
1749,14,5,21,4,5,5,6,2,29,2,1,2,1,2,2,39
483,16,4,20,6,2,4,6,2,13,2,2,1,2,1,4,5
1973,2,3,5,9,2,2,11,1,17,1,1,2,1,3,4,15
230,16,5,10,6,6,2,11,1,37,2,2,1,2,3,5,39
1054,18,3,21,1,9,6,6,1,12,1,2,1,2,1,6,4
1233,14,2,13,5,2,6,4,1,3,1,1,2,2,2,7,9
660,8,1,19,2,11,4,8,2,28,1,2,1,1,4,9,21
1517,4,5,17,7,1,2,2,1,16,2,1,2,1,4,4,8
833,4,1,2,4,5,5,10,1,36,2,1,1,2,3,7,15
1421,13,2,18,4,3,4,3,2,26,1,2,2,2,6,9,22
1390,2,4,20,1,6,1,4,2,21,2,1,2,1,1,5,3
2181,4,2,12,6,7,2,5,1,25,2,2,1,1,2,4,33
592,18,5,5,4,5,4,13,1,32,2,1,1,2,2,6,30
1803,8,1,22,1,9,1,9,2,4,2,2,1,1,5,8,20
63,4,2,6,6,9,2,8,1,35,2,1,1,1,5,4,17
1020,6,3,6,4,5,7,13,1,36,2,1,1,2,1,8,30
966,5,2,14,7,12,6,5,1,17,2,2,1,2,3,5,5
1147,15,1,20,7,5,7,12,2,30,1,2,1,2,3,3,4
2108,12,5,21,3,7,1,8,1,1,1,1,2,2,2,4,37
2161,19,4,3,5,10,7,14,1,34,1,1,2,1,6,8,23
208,3,4,1,6,4,4,6,2,9,1,1,2,2,1,3,17
1934,2,4,15,8,10,4,13,1,37,1,2,1,2,4,9,26
1602,18,4,13,8,11,2,9,2,26,1,1,1,2,1,2,26
1315,9,4,6,9,6,3,5,1,10,2,1,2,1,2,7,6
856,17,2,21,8,2,7,2,2,4,1,2,2,1,3,2,32
910,19,2,7,5,7,4,8,1,15,1,2,1,2,2,6,34
174,11,5,17,4,7,1,10,2,25,2,2,2,1,6,7,20
1000,8,5,7,4,9,7,9,2,15,2,1,2,1,5,8,1
906,9,4,15,2,5,5,14,2,26,1,2,1,2,5,9,19
1318,7,4,3,5,2,6,11,2,15,2,2,1,1,4,5,4
355,1,1,15,1,4,4,7,1,14,2,2,1,1,2,3,7
92,4,4,5,7,10,2,8,2,22,2,2,2,1,5,8,4
1902,13,3,18,1,4,3,14,1,9,1,1,1,1,6,2,13
387,12,1,7,7,3,1,10,1,2,1,1,1,2,2,4,35
1809,13,3,15,7,2,3,3,1,32,2,2,2,2,1,7,23
681,2,5,14,6,6,2,11,1,26,1,2,1,2,3,7,12
1740,2,4,11,7,1,1,9,1,36,1,2,1,2,4,6,3
2083,13,5,15,5,12,4,8,2,1,1,1,1,2,3,8,29
7,11,2,18,4,3,5,5,1,33,2,1,1,1,2,2,25
392,15,5,15,2,6,7,9,1,10,2,1,2,1,5,3,35
1007,13,5,2,6,6,4,3,1,27,1,1,1,2,1,6,6
2052,14,4,13,7,8,7,10,2,5,1,2,1,2,4,9,8
494,7,5,11,2,8,2,13,1,1,2,1,1,1,4,3,3
556,7,4,15,3,6,1,7,1,2,1,1,2,1,1,5,4
444,8,2,8,9,4,7,14,1,6,1,1,2,2,6,9,14
1075,1,2,13,1,3,5,2,2,5,1,1,2,1,2,2,9
402,19,5,11,4,6,4,14,2,17,2,2,1,1,3,6,26
700,1,5,8,7,3,7,12,1,30,2,2,1,1,1,4,33
1216,15,1,4,9,10,7,8,2,10,1,1,2,1,3,2,28
425,20,4,9,5,5,1,10,1,28,1,2,2,1,2,9,8
963,15,4,11,9,9,4,6,1,12,2,2,2,1,3,8,20
651,18,5,20,1,4,7,7,2,30,1,1,2,2,5,2,39
972,1,1,20,7,8,5,9,1,21,2,2,1,1,6,7,24
451,4,3,14,1,3,6,11,2,29,2,2,2,2,3,4,11
97,16,1,14,5,3,4,5,1,5,1,2,2,1,4,4,5
1144,19,1,21,9,4,5,14,2,10,2,2,2,1,4,2,4
1606,17,3,18,9,6,3,9,2,5,2,1,2,2,2,8,30
792,7,2,2,2,1,2,11,1,38,2,1,2,1,2,5,12
868,6,3,19,9,7,5,11,2,21,1,1,1,2,3,3,38
1484,11,5,3,3,12,7,4,2,40,1,1,2,1,6,7,18
705,5,2,8,8,1,1,11,2,38,2,2,1,2,5,4,11
986,16,5,9,6,12,6,7,1,8,2,2,1,2,5,5,9
1435,8,1,10,4,12,1,4,1,27,2,1,1,1,5,7,39
1474,5,5,6,7,9,3,2,2,11,1,1,2,2,2,2,5
1906,19,1,18,9,2,5,3,1,38,1,1,2,2,2,8,33
1688,19,3,16,2,6,2,3,1,28,2,2,2,2,6,6,16
1842,18,2,16,3,11,5,7,2,20,1,2,1,1,4,5,24
1016,19,3,22,3,12,6,2,2,36,2,1,1,1,6,3,23
2019,6,1,12,5,4,6,8,1,19,1,1,1,2,1,6,21
478,11,2,14,5,10,5,3,1,31,1,1,1,1,2,2,39
594,3,3,12,4,1,6,3,2,33,1,2,1,1,3,5,20
2022,12,5,9,2,5,3,3,2,4,1,1,1,2,2,2,38
1996,3,2,15,4,3,3,7,1,21,1,1,1,2,4,4,1
1347,1,4,9,6,7,3,6,1,39,2,1,2,1,3,3,20
1922,8,4,19,2,6,7,12,2,21,1,2,2,1,5,6,22
2072,4,2,18,7,2,5,10,1,30,2,2,2,2,6,6,35
389,11,3,9,8,7,6,3,2,40,2,1,1,1,3,5,22
686,15,3,22,7,2,4,6,2,33,2,1,1,1,1,2,11
1408,18,5,18,2,7,3,5,2,5,2,1,2,1,1,5,6
1764,20,1,9,2,12,5,8,2,26,1,1,1,1,4,6,21
331,9,1,1,8,7,4,9,2,18,2,1,1,2,5,2,11
1698,16,5,15,6,6,7,6,2,40,2,1,1,2,4,2,36
910,15,3,16,2,3,1,11,1,10,1,1,1,1,5,3,25
2177,17,2,6,5,8,3,7,1,6,2,1,1,1,3,2,16
1926,17,1,7,7,7,2,11,2,34,2,2,1,1,6,2,11
1925,3,2,2,4,12,7,9,2,16,1,1,1,2,6,3,1
1408,19,4,20,4,1,3,9,1,27,2,2,1,2,2,2,25
709,12,3,6,5,11,4,4,2,9,1,1,1,1,6,6,24
1983,2,3,8,8,12,1,10,1,29,1,2,2,2,4,8,8
542,1,4,5,2,2,5,9,2,33,1,1,2,1,5,4,33
1946,2,2,19,3,10,6,6,2,32,2,2,2,1,6,9,2
164,5,2,14,1,6,6,12,2,6,2,2,1,1,3,3,2
108,7,5,16,3,2,4,12,2,24,2,2,2,2,1,9,24
1255,2,4,3,6,8,7,14,2,27,2,2,1,2,2,6,22
1673,11,2,7,4,7,6,12,2,2,2,2,1,2,1,6,38
974,3,4,13,8,6,7,10,2,23,2,1,1,1,6,2,36
243,11,4,14,3,10,4,13,2,15,2,1,1,1,4,8,20
1611,11,5,1,5,3,7,3,2,7,1,1,2,1,4,2,33
1567,4,2,9,9,7,7,11,2,25,1,2,1,2,2,9,20
1780,4,2,19,9,3,3,10,2,6,2,2,2,1,1,9,21
736,20,3,13,4,3,1,12,2,21,2,2,2,1,2,5,36
1652,8,5,13,1,3,7,4,1,14,1,2,2,2,4,6,2
324,12,2,8,4,4,1,8,1,16,1,2,1,2,5,2,11
512,6,3,10,1,4,6,4,1,22,2,2,1,1,3,7,18
316,13,3,3,6,11,3,7,2,25,1,2,1,2,1,6,24
1915,16,5,3,6,2,3,9,2,23,1,2,2,2,3,7,16
1476,8,3,15,7,6,3,14,1,40,2,2,1,1,2,8,21
1541,15,2,16,6,1,2,14,1,26,1,2,1,2,2,9,21
588,12,3,18,8,6,1,11,2,20,1,1,1,2,6,3,3
1098,17,2,18,4,8,1,2,1,29,2,2,1,2,1,7,37
1855,9,1,10,7,5,1,2,1,26,1,1,2,1,3,3,17
1633,11,1,1,6,8,2,12,2,12,1,2,2,2,6,7,7
91,7,5,1,7,6,1,9,1,12,2,2,2,1,2,9,7
1491,10,1,4,9,1,4,8,2,34,1,2,2,1,2,6,39
1384,5,1,8,2,2,2,14,1,35,2,1,2,1,2,8,32
1296,10,5,1,5,8,2,5,1,7,2,2,1,2,1,2,11
1120,7,1,14,5,3,7,13,2,27,2,1,1,1,5,7,35
1978,19,3,15,7,12,6,7,2,7,1,2,2,2,5,7,25
1899,19,5,4,4,1,4,2,1,37,2,1,1,2,5,6,34
382,11,3,18,6,12,5,10,1,15,1,2,1,2,6,5,5
1552,7,4,16,2,7,3,4,2,2,2,1,2,2,5,7,29
135,15,2,9,8,5,1,7,2,33,1,1,1,2,2,6,22
1052,11,2,1,2,4,7,14,1,28,2,1,1,1,6,3,7
1870,1,4,19,6,11,3,11,1,38,1,2,2,2,5,3,17
568,19,5,11,1,6,4,6,1,39,1,1,1,2,1,7,29
1002,7,3,20,8,1,6,5,1,20,2,2,1,2,5,6,33
1992,8,3,8,5,5,2,6,2,34,1,1,2,2,3,6,33
980,1,3,20,5,5,2,3,1,9,1,1,2,1,5,8,29
256,16,4,4,7,10,4,14,1,38,2,1,2,2,3,2,25
1047,19,3,9,7,12,6,14,1,35,2,2,1,2,2,6,12
1879,20,2,9,3,11,3,13,1,40,2,1,2,2,2,4,35
1147,3,1,10,1,4,1,14,1,12,1,1,2,1,1,4,5
2139,1,5,16,7,12,3,3,1,13,2,1,1,1,3,6,13
1036,15,2,8,9,8,5,11,1,24,1,2,1,1,5,9,14
852,13,4,9,5,2,2,13,1,4,2,1,2,1,3,4,38
894,11,3,5,2,8,3,7,1,12,2,2,2,1,4,9,14
2182,15,5,7,7,11,4,9,2,27,2,2,2,2,2,5,29
2042,13,4,17,3,5,1,10,2,36,1,2,2,1,6,6,35
2113,1,5,6,3,8,3,3,2,34,1,2,2,2,2,7,5
667,19,2,2,7,3,2,7,1,12,2,1,2,1,3,5,29
814,11,1,6,7,12,2,9,1,11,2,1,1,1,3,9,20
1406,15,4,13,8,8,6,11,1,35,2,1,2,1,1,3,17
679,11,2,4,2,1,6,10,2,40,2,1,1,1,6,9,20
195,9,5,13,9,8,1,3,1,4,2,1,2,2,4,7,25
2042,4,3,5,8,6,1,6,1,17,2,2,1,2,6,9,15
1462,20,1,8,4,4,4,8,2,30,1,1,2,1,3,7,33
1801,17,2,11,8,11,4,14,2,5,1,1,2,2,2,8,33
36,3,4,14,2,1,2,13,1,20,1,2,2,2,6,7,12
1335,12,4,11,4,12,7,4,1,7,1,1,1,1,2,7,5
20,2,3,7,8,12,2,10,1,10,2,1,2,2,6,3,23
1388,13,3,10,6,3,7,3,1,19,1,1,2,2,5,2,32
1927,15,2,5,8,9,7,7,2,33,1,1,2,2,4,2,29
667,9,2,15,4,10,5,12,2,5,2,2,2,2,4,8,1
1502,20,2,12,4,4,4,11,2,23,2,2,1,2,5,2,5
587,3,3,9,6,4,2,4,2,33,2,1,2,1,3,6,35
1409,7,5,3,8,3,1,4,1,11,1,2,2,1,5,2,29
1089,11,2,10,8,7,7,4,2,33,1,2,1,2,1,8,13
1178,14,5,5,4,2,6,13,1,14,1,2,2,2,1,4,27
1057,20,5,17,8,2,5,13,2,19,1,2,2,1,4,7,21
926,16,5,3,2,4,7,6,2,14,2,2,2,1,4,3,7
1869,8,4,3,3,12,6,14,1,39,2,2,2,1,6,8,8
1012,20,5,5,5,8,7,6,2,9,2,2,2,2,5,5,9
634,4,1,15,9,9,5,11,1,23,2,2,2,2,3,7,38
1174,11,3,12,4,1,2,2,1,3,2,1,1,1,6,5,10
200,20,2,6,2,10,7,10,1,2,2,1,2,1,1,6,4
1245,19,4,18,7,8,2,13,1,2,1,2,2,1,2,2,8
1318,17,2,13,9,11,2,2,1,31,2,2,2,1,2,5,21
89,8,1,8,5,5,2,9,1,13,2,1,1,1,4,4,37
1452,2,3,8,7,12,6,4,1,14,2,2,1,2,4,6,17
2187,9,1,4,1,9,4,10,2,18,1,2,1,2,1,4,2
796,6,3,4,4,2,6,2,2,31,1,2,2,1,6,2,21
1261,20,1,13,3,8,7,9,1,40,1,1,1,2,2,8,10
193,3,2,7,1,6,7,10,1,10,2,2,1,1,6,8,10
1968,18,1,22,4,11,4,13,2,23,2,1,1,1,4,9,34
1558,9,5,1,8,10,5,6,1,18,1,1,2,2,5,2,38
1559,4,3,1,3,7,6,10,2,16,1,1,1,2,3,6,19
1710,11,5,22,1,6,5,6,1,10,1,1,2,2,2,2,36
1332,3,5,20,1,1,7,6,2,40,2,1,1,2,4,5,35
1116,11,4,11,3,12,1,13,1,39,2,2,2,2,5,2,21
1514,4,1,9,1,3,6,3,2,28,2,1,1,2,3,8,31
1523,13,5,19,8,12,1,13,1,10,1,1,1,2,1,7,11
1638,19,4,11,2,2,2,3,2,39,2,2,1,1,6,5,36
1141,3,3,11,5,5,4,4,1,25,1,1,1,2,1,6,7
1406,19,3,9,3,1,1,9,1,37,2,1,2,2,2,8,39
819,19,2,4,6,6,5,2,2,14,2,1,1,1,3,9,38
661,14,4,17,7,3,3,13,2,30,2,2,1,2,4,2,22
491,12,1,8,4,11,3,8,2,14,1,1,1,1,4,9,27
115,11,2,6,4,4,6,8,2,4,1,1,2,2,4,4,24
1805,10,3,7,1,2,1,4,2,1,1,1,2,1,5,2,16
1482,8,2,17,2,6,4,5,1,35,2,1,2,2,4,9,9
1225,19,4,13,8,4,7,5,2,1,2,2,2,2,2,8,3
417,13,5,13,7,4,4,3,2,6,2,2,1,2,2,2,30
727,17,5,12,6,6,1,3,1,2,2,2,1,2,5,4,36
1875,4,4,3,1,10,3,4,2,15,1,1,1,2,2,4,33
2184,11,5,15,2,8,1,11,1,22,2,1,2,2,1,3,23
653,2,1,13,8,9,3,3,2,38,2,2,2,1,5,8,19
2085,1,1,20,5,8,7,4,1,23,2,1,2,2,1,6,19
1228,12,2,15,7,11,2,12,2,18,1,2,1,1,5,4,13
1776,4,1,12,7,8,3,13,1,7,2,1,1,2,1,2,29
491,20,1,21,6,9,3,12,1,24,1,1,2,1,2,4,33
1925,15,2,18,8,6,5,10,2,2,1,2,2,1,1,8,21
1347,19,4,19,5,7,5,8,2,33,2,2,1,2,3,3,2
27,14,5,13,6,10,6,7,1,33,2,2,2,1,1,8,21
