Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Computer and Information Sciences and Support Services,New Mexico,Commuter,All Scholarship Types,Female,FT,Athelete,17,S,1995,,5,0,0,4,3.9,3,1,4,1999,99,1999,,18,No,,2,No comment,
Communications Technologies/technicians and Support Services,Colorado,On-Campus University Housing,None,Male,PT,All,18,S,1993,,46,33,10,4,1.8,0,2,4,1997,97,2001,,19,No,,2,Yes,
Engineering,Missouri,Off-Campus Other,University,Female,FT,Athelete,17,M,1990,,129,121,5,1.8,3.3,2,2,4,1994,94,1996,follows tasks through to completion,17,No,,1,Yes,
Architecture and Related Services,New Hampshire,On-Campus University Housing,Other,Male,FT,RA,20,S,1995,,22,21,1,1.9,3.2,0,2,4,1999,99,2002,am happy to recommend,22,No,No comment,3,Yes,Yes
Undeclared,Minnesota,Commuter,University,Male,PT,All,22,S,1992,,133,103,8,1,1.9,2,2,0,1996,96,1997,comparable to peers-,23,UnSure,no,3,No comment,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Minnesota,On-Campus University Housing,Other,Male,PT,All,24,S,2004,,25,7,13,1.3,1.7,2,2,3,2008,8,2012,,25,UnSure,no,1,Yes,Yes
Computer and Information Sciences and Support Services,Arizona,Off-Campus University Housing,Other,Female,PT,RA,24,S,1986,,68,6,4,2.8,1,3,2,3,1990,90,1993,,27,UnSure,Yes,1,no,No comment
Engineering,Arizona,Off-Campus University Housing,University,Male,PT,Athelete,23,S,1998,,125,98,18,1,3.2,4,1,3,2002,2,2002,,27,Yes,No comment,3,Yes,No comment
Homeland Security- Law Enforcement- Firefighting,Minnesota,On-Campus Dorm,All Scholarship Types,Male,PT,RA,19,S,2000,,126,109,0,3.6,1.1,1,1,2,2004,4,2006,give my unqualified recommendation,21,UnSure,no,2,No comment,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,Florida,On-Campus University Housing,Other,Male,FT,All,22,S,2004,,135,20,88,3.5,2.3,3,1,4,2008,8,2009,has a take-charge personality,26,Yes,no,2,Yes,No comment
Mechanic and Repair Technologies/technicians,Micronesia,Off-Campus Other,Other,Male,FT,All,24,S,2004,,31,28,2,1.2,2.9,2,1,1,2008,8,2010,her performance as a,24,UnSure,no,3,Yes,Yes
Library Science,Rhode Island,On-Campus Dorm,University,Male,FT,Non-Athlete,25,M,1991,,136,8,76,2.1,1.9,3,2,1,1995,95,1998,can offer only the highest recommendation for,26,UnSure,No comment,3,Yes,Yes
Engineering Technologies and Engineering-Related Fields,Kansas,Off-Campus Other,University,Female,PT,Athelete,22,S,1989,,53,20,19,3.2,3.9,0,2,2,1993,93,1993,outstanding leadership abilities,25,Yes,No comment,2,Yes,Yes
Undeclared,South Carolina,On-Campus Dorm,Private,Female,FT,Non-Athlete,20,S,1990,,37,16,19,1.1,1.9,1,1,1,1994,94,1994,,21,UnSure,Yes,2,Yes,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,Dist. of Columbia,On-Campus Dorm,Private,Female,PT,Athelete,25,S,1986,,11,1,1,1.9,3.7,4,1,0,1990,90,1992,,26,No,No comment,1,no,No comment
Undeclared,Oklahoma,Commuter,All Scholarship Types,Male,FT,All,19,S,1990,,31,7,2,,2.1,4,1,0,1994,94,1998,outstanding leadership abilities,23,Yes,Yes,3,Yes,Yes
Architecture and Related Services,New Hampshire,On-Campus Dorm,None,Male,FT,Athelete,21,S,1992,,125,60,53,1.2,3.9,1,2,4,1996,96,1998,will be successful in any enterprise he undertakes,23,Yes,Yes,1,No comment,Yes
Biological and Biomedical Sciences,Puerto Rico,On-Campus Dorm,Private,Male,FT,RA,25,S,2003,,28,16,7,2.1,3.7,1,1,3,2007,7,2007,,27,No,Yes,2,Yes,no
Agriculture- Agriculture Operations- and Related Sciences,Massachusetts,Off-Campus Other,None,Male,FT,RA,22,M,2001,,114,49,54,2.9,2.6,1,1,0,2005,5,2006,,22,No,no,1,Yes,no
Agriculture- Agriculture Operations- and Related Sciences,South Carolina,Off-Campus University Housing,None,Male,PT,Athelete,17,M,1987,,113,108,1,1.5,3.7,0,2,4,1991,91,1993,,19,UnSure,,1,Yes,
Multi/interdisciplinary Studies,Florida,On-Campus University Housing,None,Female,PT,RA,23,S,1986,,144,104,8,2.7,1,4,2,1,1990,90,1993,will measure up to your high standards,27,UnSure,no,1,no,no
History,Alabama,Commuter,Private,Male,PT,All,22,S,2000,,139,62,72,3.5,3.5,2,1,3,2004,4,2008,,25,No,No comment,2,Yes,no
Health Professions and Related Programs,Hawaii,Commuter,Other,Female,FT,Non-Athlete,23,M,1995,,88,51,9,2.2,1.9,3,1,2,1999,99,2001,would be pleased to provide a reference for,26,UnSure,no,3,no,No comment
Multi/interdisciplinary Studies,Wyoming,On-Campus Dorm,None,Female,FT,Athelete,20,M,1994,,20,19,1,1.9,3.4,0,1,3,1998,98,1998,am honored to support him as a student,22,UnSure,no,1,No comment,no
Legal Professions and Studies,Puerto Rico,Off-Campus University Housing,Other,Female,PT,Non-Athlete,19,S,1999,,92,76,3,2.2,1,3,1,1,2003,3,2006,,19,Yes,,3,no,
Multi/interdisciplinary Studies,Rhode Island,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,21,S,2002,,33,19,9,3.2,1.9,2,2,0,2006,6,2008,,22,No,no,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Maryland,Off-Campus University Housing,Other,Male,PT,Non-Athlete,21,M,1998,,72,6,12,1.8,2.4,1,1,0,2002,2,2004,,22,Yes,Yes,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Illinois,On-Campus Dorm,University,Female,PT,Athelete,21,M,1992,,114,74,20,2.2,3.5,4,1,1,1996,96,1997,,22,No,no,1,no,Yes
Liberal Arts and Sciences Studies and Humanities,Colorado,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,19,M,1992,,66,50,0,2.1,2.2,2,2,3,1996,96,1996,comparable to peers-,22,Yes,No comment,1,Yes,no
Human Services,New Mexico,Off-Campus University Housing,University,Female,FT,RA,20,M,1997,,70,68,1,4,1.8,1,1,1,2001,1,2004,,21,UnSure,Yes,3,No comment,no
Homeland Security- Law Enforcement- Firefighting,Oklahoma,Off-Campus Other,Private,Female,FT,All,18,M,2000,,10,2,0,2.6,3.1,1,1,4,2004,4,2006,,19,UnSure,,2,Yes,
Engineering Technologies and Engineering-Related Fields,South Carolina,Off-Campus University Housing,Private,Male,FT,All,20,S,1997,,87,82,1,2.8,2.3,1,1,3,2001,1,2004,,21,No,No comment,3,No comment,Yes
Architecture and Related Services,North Carolina,Commuter,Other,Male,PT,Non-Athlete,25,S,1993,,133,25,10,1.2,3.6,1,1,1,1997,97,1997,have no hesitation in recommending,26,Yes,Yes,2,Yes,Yes
Military Technologies and Applied Sciences,Rhode Island,On-Campus Dorm,University,Male,PT,RA,25,S,1992,,56,35,17,3.5,2.4,2,2,3,1996,96,1999,if I can further assist,28,No,no,3,No comment,Yes
Family and Consumer Sciences/human Sciences,Marshall Islands,Commuter,All Scholarship Types,Male,PT,Athelete,20,S,2002,,32,23,3,3.9,3.6,1,1,0,2006,6,2007,outstanding leadership abilities,21,Yes,no,1,No comment,Yes
Library Science,Pennsylvania,On-Campus University Housing,Private,Male,FT,Non-Athlete,24,S,1987,,8,4,4,1.7,3.3,4,2,1,1991,91,1994,,24,Yes,no,2,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Nebraska,Commuter,Other,Male,FT,Non-Athlete,24,M,1986,,102,74,21,3,,2,2,1,1990,90,1991,always cheerful and dependable,28,UnSure,Yes,3,Yes,no
Construction Trades,Tennessee,Commuter,None,Male,FT,Athelete,18,M,1996,,47,6,35,3.2,4,0,2,0,2000,0,2004,,22,No,no,2,Yes,Yes
History,Missouri,Off-Campus Other,University,Female,PT,Athelete,24,S,1994,,109,61,14,3.2,3.5,3,1,0,1998,98,1998,,28,UnSure,Yes,1,no,Yes
Human Services,Idaho,On-Campus University Housing,Private,Male,FT,Non-Athlete,19,S,1989,,22,0,1,1.1,3.1,1,2,1,1993,93,1997,,19,Yes,,2,Yes,
Biological and Biomedical Sciences,North Dakota,Commuter,Other,Female,PT,RA,23,M,2004,,5,5,0,1.7,1.2,1,2,1,2008,8,2011,comments are well thought out and clearly articulated,27,UnSure,no,1,Yes,Yes
Education,Wyoming,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,24,M,1991,,51,26,11,2.8,3.5,0,2,3,1995,95,1998,,28,Yes,No comment,3,Yes,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,American,Commuter,Private,Male,PT,Non-Athlete,25,S,1994,,142,113,13,1.9,2.2,3,1,3,1998,98,1999,,29,No,No comment,1,No comment,no
Architecture and Related Services,Idaho,On-Campus Dorm,Private,Female,FT,Non-Athlete,24,S,1996,,76,58,16,2.2,1.3,3,2,3,2000,0,2000,,27,No,no,1,no,no
History,Connecticut,Off-Campus Other,All Scholarship Types,Male,FT,All,20,S,1998,,103,19,2,3.2,2.5,4,1,4,2002,2,2006,,20,UnSure,,1,No comment,
Communications Technologies/technicians and Support Services,Hawaii,On-Campus University Housing,Other,Female,PT,All,25,S,1985,,78,28,34,2.4,2.3,1,2,3,1989,89,1991,first became acquainted with,25,Yes,Yes,1,Yes,Yes
Multi/interdisciplinary Studies,Massachusetts,On-Campus University Housing,Private,Male,PT,Non-Athlete,23,M,1997,,60,3,17,1.5,3.9,1,2,3,2001,1,2005,Health issues,26,UnSure,no,2,No comment,No comment
Education,Tennessee,Commuter,University,Female,PT,All,25,M,2002,,150,135,3,3.8,1.6,4,2,0,2006,6,2009,works well with little supervision,27,UnSure,Yes,2,no,no
Construction Trades,New York,Commuter,Other,Male,FT,Athelete,24,M,2005,,125,124,1,4,3.9,1,1,3,2009,9,2012,,27,Yes,No comment,3,No comment,No comment
Education,New Jersey,Commuter,University,Female,FT,RA,24,S,1997,,64,64,0,2.4,3.9,3,1,0,2001,1,2004,,27,UnSure,Yes,3,Yes,No comment
Architecture and Related Services,Washington,On-Campus Dorm,None,Male,PT,Athelete,17,M,2001,,87,25,49,3.2,3.6,4,1,3,2005,5,2008,,21,No,no,2,Yes,no
Human Services,Wisconsin,Commuter,None,Female,FT,All,17,S,1999,,72,17,44,1.4,4,4,1,3,2003,3,2004,,17,UnSure,,1,Yes,
Education,Missouri,On-Campus University Housing,Other,Female,FT,All,20,M,1992,,21,16,0,1.4,1.6,2,2,4,1996,96,1997,should you have any questions,24,UnSure,No comment,1,Yes,no
Military Technologies and Applied Sciences,Minnesota,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,19,M,1998,,3,2,0,3.7,3.6,0,2,2,2002,2,2004,,22,Yes,Yes,2,No comment,no
Military Technologies and Applied Sciences,Marshall Islands,On-Campus Dorm,Private,Male,FT,Non-Athlete,24,S,1985,,14,12,0,1.5,3.6,3,1,1,1989,89,1989,broad range of skills,24,Yes,Yes,1,No comment,Yes
Mechanic and Repair Technologies/technicians,Illinois,Commuter,All Scholarship Types,Male,FT,RA,23,M,1985,,11,1,6,1.7,1.2,0,1,2,1989,89,1989,gets along well with others,27,Yes,no,3,Yes,no
Mechanic and Repair Technologies/technicians,North Carolina,Commuter,All Scholarship Types,Female,PT,All,19,M,1998,,132,17,4,2.6,3.7,1,1,4,2002,2,2006,,23,UnSure,Yes,1,Yes,Yes
All Majors,New Jersey,On-Campus Dorm,None,Female,FT,Athelete,18,S,2004,,141,34,27,3.2,3.6,2,2,3,2008,8,2008,,21,No,Yes,3,No comment,no
Biological and Biomedical Sciences,Hawaii,Off-Campus Other,None,Female,FT,All,21,S,1999,,135,59,13,1.7,1.4,4,1,1,2003,3,2007,,21,Yes,no,1,No comment,Yes
Biological and Biomedical Sciences,All Locations,Commuter,University,Male,FT,RA,17,M,1993,,148,73,64,1.7,2.7,4,1,0,1997,97,1997,,17,Yes,,3,Yes,
Homeland Security- Law Enforcement- Firefighting,New Jersey,Commuter,Private,Male,PT,Non-Athlete,17,S,2004,,109,14,69,1.1,1.1,4,1,2,2008,8,2011,,18,Yes,,3,No comment,
Aviation,New Mexico,Off-Campus Other,University,Male,PT,Non-Athlete,20,M,2004,,96,60,7,2.7,,0,2,4,2008,8,2009,,21,No,Yes,1,Yes,no
Computer and Information Sciences and Support Services,Arkansas,On-Campus University Housing,Private,Male,FT,Athelete,17,M,1991,,107,62,10,1,,0,2,4,1995,95,1999,should be given serious consideration,19,UnSure,,3,Yes,
Military Technologies and Applied Sciences,Utah,Commuter,University,Male,FT,Non-Athlete,24,M,1997,,144,138,2,3.1,0.75,2,1,3,2001,1,2003,is personable and easy to work with,24,No,Yes,2,Yes,No comment
Legal Professions and Studies,Vermont,On-Campus University Housing,Private,Male,PT,Athelete,21,S,2004,,145,99,26,2.7,3.6,3,1,0,2008,8,2009,will be a credit to your,25,No,Yes,1,Yes,no
Homeland Security- Law Enforcement- Firefighting,New Hampshire,Commuter,Other,Female,FT,Non-Athlete,18,M,2003,,144,37,77,1.1,1.4,3,1,2,2007,7,2010,,18,No,,1,no,
Human Services,Louisiana,Commuter,University,Male,PT,Athelete,22,S,1986,,54,13,8,1.5,3.7,2,2,1,1990,90,1990,her sensitivity and concern for others,24,UnSure,no,2,No comment,Yes
Communication Journalism and Related Programs,Maine,Commuter,None,Female,FT,RA,18,S,2005,,16,16,0,1.3,2.8,0,2,1,2009,9,2011,,18,Yes,,1,Yes,
Engineering Technologies and Engineering-Related Fields,Illinois,On-Campus Dorm,Other,Male,FT,Non-Athlete,17,S,1985,,134,37,54,2.8,1,2,1,1,1989,89,1991,,19,UnSure,,3,No comment,
Library Science,Maine,Commuter,University,Female,PT,Athelete,23,S,1999,,42,33,3,2,3.6,0,1,4,2003,3,2005,outstanding leadership abilities,26,UnSure,no,3,Yes,Yes
Education,All Locations,On-Campus Dorm,All Scholarship Types,Female,FT,All,19,M,1995,,5,1,1,1.2,1.5,0,2,1,1999,99,2001,first became acquainted with,20,No,,1,no,
Engineering,Idaho,On-Campus University Housing,None,Male,FT,Athelete,24,S,1993,,46,40,5,3.5,3.1,0,2,0,1997,97,2000,in the past two years,28,Yes,No comment,3,Yes,No comment
Education,Rhode Island,On-Campus University Housing,Private,Male,FT,Athelete,18,S,2002,,139,124,15,1,,2,1,3,2006,6,2007,,21,No,No comment,3,Yes,Yes
Engineering,Northern Marianas,Commuter,Private,Female,FT,RA,19,S,1988,,111,6,9,1.6,2.1,4,1,3,1992,92,1993,,19,Yes,,1,no,
Architecture and Related Services,Kansas,Commuter,Private,Male,FT,Non-Athlete,22,M,1997,,33,23,0,3.3,2.3,3,2,0,2001,1,2003,will be a great addition to,26,UnSure,Yes,3,Yes,Yes
Undeclared,Nebraska,On-Campus Dorm,Private,Male,FT,All,23,M,1989,,84,42,16,2.1,2.3,4,1,2,1993,93,1993,will be a credit to your,26,No,No comment,2,Yes,No comment
Military Technologies and Applied Sciences,Marshall Islands,Commuter,Other,Female,PT,Non-Athlete,18,S,1997,,106,59,33,3.3,0.75,1,1,2,2001,1,2002,works well with oouthers,19,Yes,,3,no,
Family and Consumer Sciences/human Sciences,Oregon,On-Campus Dorm,None,Male,PT,RA,24,S,1992,,94,63,20,1.1,1.4,3,1,1,1996,96,1999,,26,Yes,No comment,2,No comment,no
Mathematics and Statistics,Alabama,On-Campus Dorm,Private,Male,FT,RA,24,M,1991,,10,10,0,3.8,0.75,0,1,1,1995,95,1998,,28,UnSure,Yes,2,No comment,no
Communication Journalism and Related Programs,Northern Marianas,On-Campus University Housing,None,Male,FT,Athelete,19,S,1989,,121,20,9,1.5,3.5,4,2,0,1993,93,1993,,19,UnSure,,1,Yes,
Architecture and Related Services,Kentucky,Off-Campus University Housing,University,Female,FT,Non-Athlete,17,M,2005,,88,37,9,2.1,2.5,4,1,1,2009,9,2012,,21,No,Yes,1,No comment,no
Homeland Security- Law Enforcement- Firefighting,Massachusetts,On-Campus University Housing,All Scholarship Types,Male,PT,All,20,M,1995,,91,27,46,3.8,1.5,4,2,0,1999,99,2003,her performance as a,20,UnSure,,2,Yes,
Agriculture- Agriculture Operations- and Related Sciences,New York,Commuter,Private,Male,FT,RA,21,S,1985,,134,46,82,1,1.7,0,2,4,1989,89,1992,willing to go beyond what is required,25,Yes,no,1,Yes,No comment
Legal Professions and Studies,Northern Marianas,Commuter,Private,Female,PT,All,21,S,1994,,102,66,27,2.9,2.3,4,2,1,1998,98,2002,recommend her very highly,22,Yes,No comment,3,No comment,Yes
Family and Consumer Sciences/human Sciences,Maine,Off-Campus Other,All Scholarship Types,Male,FT,RA,19,S,1996,,120,107,3,2.4,2,0,2,1,2000,0,2003,,19,No,,1,Yes,
Military Technologies and Applied Sciences,North Carolina,On-Campus University Housing,University,Male,FT,All,24,S,1986,,99,18,10,2.3,1.6,4,1,0,1990,90,1993,is intelligent and ambitious,25,Yes,no,3,Yes,No comment
All Majors,Maine,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,25,S,1986,,34,34,0,1.6,0.75,1,1,2,1990,90,1993,,29,Yes,Yes,2,Yes,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Virginia,On-Campus University Housing,None,Male,FT,Athelete,21,M,1993,,22,9,0,2.2,3.4,1,2,3,1997,97,1997,his qualifications and performance,21,Yes,no,1,Yes,No comment
Computer and Information Sciences and Support Services,North Carolina,On-Campus University Housing,University,Male,FT,Athelete,24,S,1990,,15,1,2,3.9,3.7,3,2,1,1994,94,1998,,28,No,No comment,3,Yes,Yes
Computer and Information Sciences and Support Services,New Hampshire,Off-Campus Other,None,Male,PT,RA,23,S,1988,,74,20,40,2.3,1.3,4,1,3,1992,92,1994,demonstrated particular strengths in,26,No,No comment,2,Yes,No comment
Computer and Information Sciences and Support Services,Maine,Commuter,Private,Female,FT,Non-Athlete,25,M,1987,,106,85,9,3.7,2.2,4,2,4,1991,91,1994,,29,UnSure,no,3,no,no
Library Science,Michigan,On-Campus University Housing,Private,Female,FT,RA,20,S,1999,,98,28,58,2.5,1,4,1,1,2003,3,2005,,20,No,,3,no,
Multi/interdisciplinary Studies,Virginia,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,24,S,1990,,115,41,36,3.7,2,1,2,3,1994,94,1995,,27,Yes,Yes,1,no,No comment
Engineering,Guam,Off-Campus University Housing,None,Male,FT,Non-Athlete,18,M,2005,,60,59,0,1.3,3.2,1,1,3,2009,9,2013,,18,Yes,,1,No comment,
Computer and Information Sciences and Support Services,Iowa,On-Campus Dorm,All Scholarship Types,Male,FT,All,24,M,1996,,98,90,4,2.1,3.8,3,2,3,2000,0,2001,,24,UnSure,No comment,1,Yes,No comment
Computer and Information Sciences and Support Services,Oklahoma,Off-Campus University Housing,None,Female,PT,All,22,M,1999,,113,6,64,3.8,2.7,3,1,0,2003,3,2003,,26,No,Yes,2,no,no
Family and Consumer Sciences/human Sciences,Guam,On-Campus Dorm,Private,Male,FT,Athelete,19,M,1987,,64,18,13,2.4,3.9,2,1,4,1991,91,1994,first came to my attention when,19,UnSure,,2,No comment,
Multi/interdisciplinary Studies,Nebraska,Off-Campus University Housing,Private,Male,FT,Athelete,18,M,1997,,16,10,0,3.1,3.6,2,2,2,2001,1,2002,communicates effectively in writing,19,No,,2,Yes,
Architecture and Related Services,Kansas,Off-Campus Other,Private,Male,FT,RA,21,S,1994,,99,48,16,3.2,1.8,1,2,0,1998,98,1998,was a student in two of my classes,22,Yes,Yes,1,Yes,Yes
Human Services,Palau,On-Campus University Housing,Private,Male,FT,Non-Athlete,18,M,1993,,15,4,3,3.2,1.5,4,1,2,1997,97,1999,,19,Yes,,3,Yes,
Library Science,Oklahoma,On-Campus University Housing,Private,Male,PT,Non-Athlete,22,M,2003,,93,33,31,3.1,3,0,1,2,2007,7,2010,handles responsibility well,22,UnSure,No comment,3,No comment,Yes
Foreign Languages Literatures and Linguistics,Iowa,Off-Campus Other,University,Male,FT,All,20,M,1990,,98,7,77,2.6,3.5,1,1,1,1994,94,1998,,22,Yes,No comment,3,No comment,no
Family and Consumer Sciences/human Sciences,Alabama,Off-Campus Other,University,Male,PT,Non-Athlete,25,M,1987,,44,35,4,2.8,4,4,1,1,1991,91,1992,,26,No,no,3,No comment,no
Communication Journalism and Related Programs,Maine,Commuter,All Scholarship Types,Male,PT,Athelete,17,M,1986,,68,24,15,1.3,3.1,2,1,4,1990,90,1994,,17,No,,2,No comment,
History,Wyoming,Commuter,University,Female,FT,All,21,S,1990,,126,46,17,2.5,2,0,2,0,1994,94,1998,,21,Yes,Yes,3,Yes,no
Computer and Information Sciences and Support Services,Colorado,Commuter,Private,Male,FT,Athelete,19,S,2002,,66,19,13,3,3.8,4,2,1,2006,6,2007,,23,UnSure,Yes,2,Yes,Yes
Liberal Arts and Sciences Studies and Humanities,New Hampshire,Off-Campus University Housing,None,Female,PT,Non-Athlete,24,M,2002,,72,42,17,,1.8,0,1,0,2006,6,2008,,25,UnSure,No comment,1,Yes,No comment
Family and Consumer Sciences/human Sciences,American,Off-Campus Other,Private,Male,PT,Non-Athlete,20,M,1992,,136,56,58,3.5,3.3,0,1,3,1996,96,1996,,22,Yes,No comment,3,No comment,Yes
Liberal Arts and Sciences Studies and Humanities,Maryland,On-Campus University Housing,University,Male,PT,Athelete,17,S,1996,,116,73,0,3.7,3.6,2,1,2,2000,0,2002,,19,Yes,,1,Yes,
Liberal Arts and Sciences Studies and Humanities,Utah,Commuter,None,Male,FT,RA,24,M,2001,,139,68,5,1.7,3.4,2,1,1,2005,5,2009,,24,No,No comment,1,No comment,no
Aviation,Indiana,On-Campus University Housing,All Scholarship Types,Female,PT,Athelete,21,S,1987,,67,5,0,3.9,3.8,4,2,2,1991,91,1992,,22,UnSure,Yes,3,Yes,Yes
Human Services,New Hampshire,Commuter,University,Female,FT,All,23,M,2005,,70,66,2,3.5,3.3,1,1,1,2009,9,2011,am pleased to comment on,23,Yes,No comment,1,No comment,Yes
Liberal Arts and Sciences Studies and Humanities,Maine,On-Campus Dorm,Private,Male,PT,Non-Athlete,18,M,1994,,27,7,1,1,2.1,1,2,2,1998,98,2002,,20,Yes,,2,Yes,
Human Services,Wisconsin,Commuter,Private,Male,PT,Athelete,24,M,1996,,137,4,7,2.7,3.7,1,2,4,2000,0,2002,,26,UnSure,no,1,Yes,Yes
Multi/interdisciplinary Studies,Wisconsin,Commuter,Other,Male,FT,Athelete,20,M,1988,,112,67,16,1.5,3.2,0,1,4,1992,92,1995,,20,No,,1,Yes,
Area- Ethnic- Cultural- Gender- and Group Studies,Mississippi,On-Campus University Housing,None,Male,FT,Non-Athlete,25,M,2003,,103,6,91,2.4,2.5,2,2,4,2007,7,2011,am honored to support him as a student,28,Yes,No comment,3,Yes,No comment
Legal Professions and Studies,Micronesia,Off-Campus University Housing,None,Female,FT,All,18,S,2005,,17,12,3,,3.6,4,2,3,2009,9,2013,first became acquainted with,21,Yes,No comment,3,No comment,no
Aviation,Arkansas,Commuter,All Scholarship Types,Female,PT,Athelete,24,M,1995,,31,12,0,3.3,3.9,4,2,2,1999,99,2002,,27,UnSure,No comment,2,Yes,no
Aviation,Minnesota,On-Campus Dorm,None,Male,FT,All,22,M,2003,,139,48,11,3.9,,1,2,4,2007,7,2011,,24,UnSure,No comment,3,No comment,Yes
Aviation,Dist. of Columbia,Off-Campus Other,University,Female,FT,Non-Athlete,20,M,2002,,85,12,10,2.7,3.9,1,1,2,2006,6,2008,always behaves professionally,22,No,Yes,2,No comment,No comment
Multi/interdisciplinary Studies,Oregon,Off-Campus University Housing,Private,Male,FT,RA,25,M,2002,,68,43,3,3.1,0.75,4,2,3,2006,6,2007,punctual and hard working,27,UnSure,No comment,2,Yes,no
Foreign Languages Literatures and Linguistics,Montana,Commuter,Other,Male,FT,Athelete,23,S,1998,,21,17,4,3.8,4,0,2,2,2002,2,2003,,23,Yes,Yes,3,Yes,No comment
Communication Journalism and Related Programs,Virgin Islands,On-Campus Dorm,Other,Male,PT,Non-Athlete,23,M,1993,,60,3,29,3.8,1.3,2,2,0,1997,97,1997,,27,UnSure,no,3,Yes,No comment
History,Oklahoma,Off-Campus University Housing,None,Male,FT,Non-Athlete,20,M,2004,,89,88,0,3.3,2.6,3,2,3,2008,8,2010,,20,No,,3,No comment,
Foreign Languages Literatures and Linguistics,American,Commuter,All Scholarship Types,Male,PT,Non-Athlete,20,M,1989,,90,36,2,2.2,2.3,1,1,3,1993,93,1996,every confidence in her ability to,24,No,No comment,2,Yes,No comment
Construction Trades,Indiana,Commuter,Other,Female,FT,RA,20,S,2001,,54,22,11,1.7,2.5,4,2,0,2005,5,2006,is a tireless worker,22,UnSure,No comment,3,No comment,No comment
Computer and Information Sciences and Support Services,Oregon,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,18,M,1991,,123,16,82,1.7,3.5,0,2,1,1995,95,1998,is intelligent and ambitious,21,No,No comment,3,No comment,No comment
Legal Professions and Studies,Massachusetts,On-Campus Dorm,None,Female,FT,Non-Athlete,23,M,1987,,76,49,15,3.5,2.4,4,2,2,1991,91,1993,has a flair for organization,25,UnSure,Yes,1,no,No comment
Agriculture- Agriculture Operations- and Related Sciences,New York,Off-Campus Other,None,Male,FT,RA,21,S,2003,,58,15,30,3.6,1.4,2,1,0,2007,7,2007,demonstrated particular strengths in,23,No,No comment,3,Yes,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Vermont,Commuter,All Scholarship Types,Male,PT,Non-Athlete,20,M,2003,,132,51,32,3.5,2.2,0,1,2,2007,7,2009,,21,Yes,Yes,2,Yes,no
Aviation,Arizona,Commuter,None,Female,FT,RA,24,M,1985,,89,9,72,0.75,1,0,2,4,1989,89,1993,,27,UnSure,no,1,no,No comment
Communication Journalism and Related Programs,Oregon,Commuter,University,Female,FT,All,23,M,1996,,124,41,36,3.9,2.8,4,2,2,2000,0,2002,,23,No,Yes,1,No comment,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,American,Commuter,University,Female,FT,Athelete,17,M,2005,,9,1,2,3.8,3.4,1,1,3,2009,9,2012,self-motivated individual,18,Yes,,2,No comment,
Area- Ethnic- Cultural- Gender- and Group Studies,Oregon,Commuter,Private,Female,FT,All,21,M,2003,,130,51,47,3.1,3,2,1,3,2007,7,2008,gets along well with others,25,Yes,Yes,1,No comment,No comment
All Majors,South Carolina,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,19,M,2000,,101,41,9,1.8,1.8,4,1,1,2004,4,2005,first came to my attention when,19,Yes,,3,Yes,
Engineering Technologies and Engineering-Related Fields,Northern Marianas,On-Campus Dorm,All Scholarship Types,Male,PT,RA,19,S,1997,,147,20,52,3.9,2.3,0,2,2,2001,1,2004,works well with little supervision,21,Yes,Yes,1,Yes,Yes
Communications Technologies/technicians and Support Services,Michigan,On-Campus University Housing,All Scholarship Types,Male,FT,Athelete,24,S,1988,,40,22,2,1.1,3.2,1,1,0,1992,92,1993,,26,UnSure,Yes,1,Yes,no
Construction Trades,Nevada,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,21,M,1997,,82,32,44,1.1,2.6,3,1,4,2001,1,2004,,25,UnSure,Yes,2,No comment,No comment
Mathematics and Statistics,Michigan,Commuter,None,Female,PT,Non-Athlete,19,M,2004,,24,9,1,3.5,2.6,4,2,4,2008,8,2012,,22,UnSure,no,1,no,No comment
